data_abrigo;tbs;ur;tgn;tpo
10/21/2016 19:36:9;21151;78101;25890;17207
10/21/2016 19:51:9;21127;77461;25841;17053
10/21/2016 20:6:9;20793;76035;25501;16437
10/21/2016 20:21:9;20412;77763;25283;16421
10/21/2016 20:36:9;20150;79305;25162;16475
10/21/2016 20:51:9;20103;80818;25501;16727
10/21/2016 21:6:9;20055;81396;25574;16793
10/21/2016 21:21:9;19888;81945;25720;16736
10/21/2016 21:36:9;19793;82657;26012;16779
10/21/2016 21:51:9;19746;82773;25987;16755
10/21/2016 22:6:9;19770;83155;26304;16851
10/21/2016 22:21:9;19817;83116;26256;16890
10/21/2016 22:36:9;19817;83191;26158;16904
10/21/2016 22:51:9;19674;83460;26353;16815
10/21/2016 23:6:9;19508;83846;26720;16725
10/21/2016 23:21:9;19460;84134;26842;16733
10/21/2016 23:36:9;19341;83833;26451;16560
10/21/2016 23:51:9;19199;84545;27382;16553
10/22/2016 00:6:9;19127;85267;27924;16617
10/22/2016 00:21:9;19127;84972;27431;16562
10/22/2016 00:36:9;19008;85240;27751;16495
10/22/2016 00:51:9;19056;85765;28468;16638
10/22/2016 01:6:9;19199;85773;28593;16780
10/22/2016 01:21:9;19222;86023;28990;16849
10/22/2016 01:36:9;19270;86058;29040;16903
10/22/2016 01:51:9;19199;86552;30293;16923
10/22/2016 02:6:9;18937;87767;31893;16885
10/22/2016 02:21:9;18842;88720;31663;16962
10/22/2016 02:36:9;18842;89311;31179;17067
10/22/2016 02:51:9;18675;89576;30874;16949
10/22/2016 03:6:9;18652;89804;30646;16966
10/22/2016 03:21:9;18675;89904;30495;17007
10/22/2016 03:36:9;18580;90067;30469;16942
10/22/2016 03:51:9;18604;90166;30293;16983
10/22/2016 04:6:9;18509;90236;29540;16901
10/22/2016 04:21:9;18390;90299;29389;16794
10/22/2016 04:36:9;18343;90357;28916;16757
10/22/2016 04:51:9;18224;90397;29490;16647
10/22/2016 05:6:9;18271;90409;30142;16696
10/22/2016 05:21:9;18366;90433;30672;16794
10/22/2016 05:36:9;18485;90416;31077;16909
10/22/2016 05:51:9;18747;90388;31944;17163
10/22/2016 06:6:9;19222;90086;33261;17580
10/22/2016 06:21:9;19984;87536;29290;17875
10/22/2016 06:36:9;20722;82078;25647;17576
10/22/2016 06:51:9;21008;79121;24774;17273
10/22/2016 07:6:9;20889;80240;25210;17379
10/22/2016 07:21:9;21676;77866;25137;17669
10/22/2016 07:36:9;21772;76473;25137;17475
10/22/2016 07:51:9;22011;75310;25113;17463
10/22/2016 08:6:9;22417;73453;25647;17459
10/22/2016 08:21:9;25234;61439;28543;17312
10/22/2016 08:36:9;26671;56316;29414;17279
10/22/2016 08:51:9;26867;55875;29715;17336
10/22/2016 09:6:9;26207;57926;29240;17292
10/22/2016 09:21:9;27677;52663;30192;17150
10/22/2016 09:36:9;27530;54836;30117;17655
10/22/2016 09:51:9;29490;48748;31433;17591
10/22/2016 10:6:9;29240;50156;31052;17814
10/22/2016 10:21:9;29490;50644;31331;18198
10/22/2016 10:36:9;30495;48741;31919;18507
10/22/2016 10:51:9;30874;45361;32150;17707
10/22/2016 11:6:9;30369;47999;31842;18147
10/22/2016 11:21:9;28692;50476;30646;17413
10/22/2016 11:36:9;31382;43563;32665;17524
10/22/2016 11:51:9;31510;42455;32433;17230
10/22/2016 12:6:9;29916;45585;31535;16916
10/22/2016 12:21:9;29690;44922;31433;16481
10/22/2016 12:36:9;29690;44587;31382;16363
10/22/2016 12:51:9;31433;42003;32665;16992
10/22/2016 13:6:9;31153;42246;32330;16832
10/22/2016 13:21:9;30874;43066;32047;16884
10/22/2016 13:36:9;32253;41234;33131;17433
10/22/2016 13:51:9;33313;38536;33704;17305
10/22/2016 14:6:9;33730;38158;34045;17518
10/22/2016 14:21:9;31306;41887;32381;16834
10/22/2016 14:36:9;33809;36866;34097;17042
10/22/2016 14:51:9;33574;37019;33809;16900
10/22/2016 15:6:9;29715;43917;31331;16148
10/22/2016 15:21:9;34308;37336;34281;17683
10/22/2016 15:36:9;29165;46429;31077;16524
10/22/2016 15:51:9;28097;47787;30394;16005
10/22/2016 16:6:9;28270;49250;30520;16638
10/22/2016 16:21:9;27677;52567;30016;17122
10/22/2016 16:36:9;26280;57720;29215;17304
10/22/2016 16:51:9;25744;59607;28816;17312
10/22/2016 17:6:9;25089;61868;28419;17285
10/22/2016 17:21:9;24436;66754;27974;17873
10/22/2016 17:36:9;23088;71668;27235;17714
10/22/2016 17:51:9;22561;72929;26867;17484
10/22/2016 18:6:9;22298;75475;26353;17775
10/22/2016 18:21:9;21772;77434;25963;17673
10/22/2016 18:36:9;21223;77348;25501;17123
10/22/2016 18:51:9;20770;79826;25525;17181
10/22/2016 19:6:9;20579;80380;25453;17105
10/22/2016 19:21:9;20484;79946;25331;16927
10/22/2016 19:36:9;20269;80262;25720;16780
10/22/2016 19:51:9;20126;80926;25939;16771
10/22/2016 20:6:9;19936;81828;25939;16760
10/22/2016 20:21:9;19698;82762;26426;16706
10/22/2016 20:36:9;19532;83077;26524;16603
10/22/2016 20:51:9;19413;82673;26158;16410
10/22/2016 21:6:9;19532;82423;25841;16479
10/22/2016 21:21:9;19651;82550;25987;16619
10/22/2016 21:36:9;19722;82717;26134;16721
10/22/2016 21:51:9;19698;83039;26402;16759
10/22/2016 22:6:9;19603;83368;26695;16728
10/22/2016 22:21:9;19674;83535;26940;16830
10/22/2016 22:36:9;19508;84368;27751;16823
10/22/2016 22:51:9;19555;84106;27530;16821
10/22/2016 23:6:9;19532;84076;27702;16792
10/22/2016 23:21:9;19222;85583;29015;16768
10/22/2016 23:36:9;18794;86312;29414;16481
10/22/2016 23:51:9;18794;86940;30469;16596
10/23/2016 00:6:9;18842;86589;30142;16579
10/23/2016 00:21:9;18319;86635;29890;16072
10/23/2016 00:36:9;18366;86887;30192;16165
10/23/2016 00:51:9;18176;86986;30773;15995
10/23/2016 01:6:9;17819;87594;31179;15753
10/23/2016 01:21:9;17534;88119;31561;15565
10/23/2016 01:36:9;17558;88455;31612;15648
10/23/2016 01:51:9;17391;88580;31586;15506
10/23/2016 02:6:9;17249;88780;31561;15400
10/23/2016 02:21:9;17320;89102;31612;15527
10/23/2016 02:36:9;17201;89166;31689;15421
10/23/2016 02:51:9;17296;89283;32021;15535
10/23/2016 03:6:9;17439;89365;32278;15691
10/23/2016 03:21:9;17582;89306;32458;15822
10/23/2016 03:36:9;17558;89207;32562;15781
10/23/2016 03:51:9;17486;89330;32510;15732
10/23/2016 04:6:9;17320;89545;32304;15605
10/23/2016 04:21:9;17296;89563;32510;15584
10/23/2016 04:36:9;17296;89376;32665;15552
10/23/2016 04:51:9;17201;89399;32639;15462
10/23/2016 05:6:9;17153;89481;32536;15429
10/23/2016 05:21:9;17439;89598;32717;15732
10/23/2016 05:36:9;17701;89078;32872;15899
10/23/2016 05:51:9;18152;88126;31996;16176
10/23/2016 06:6:9;19103;84523;27899;16455
10/23/2016 06:21:9;19413;84346;27899;16726
10/23/2016 06:36:9;20579;79525;25501;16936
10/23/2016 06:51:9;21604;74089;25113;16812
10/23/2016 07:6:9;22609;70289;26646;16946
10/23/2016 07:21:9;23905;64706;27850;16875
10/23/2016 07:36:9;24484;62639;28023;16911
10/23/2016 07:51:9;24532;61779;28221;16738
10/23/2016 08:6:9;25623;56040;29040;16225
10/23/2016 08:21:9;26304;55136;29265;16603
10/23/2016 08:36:9;27038;52641;29765;16553
10/23/2016 08:51:9;27063;52516;29815;16539
10/23/2016 09:6:9;28072;49681;30520;16594
10/23/2016 09:21:9;28916;48315;30824;16925
10/23/2016 09:36:9;29115;46655;31179;16556
10/23/2016 09:51:9;29690;44788;31535;16434
10/23/2016 10:6:9;30217;41736;31868;15801
10/23/2016 10:21:9;31663;37291;32587;15329
10/23/2016 10:36:9;32691;36020;33469;15693
10/23/2016 10:51:9;32820;33657;33600;14748
10/23/2016 11:6:9;32691;30596;33365;13165
10/23/2016 11:21:9;33600;30344;33887;13821
10/23/2016 11:36:9;34097;31434;33966;14796
10/23/2016 11:51:9;33574;34614;34229;15844
10/23/2016 12:6:9;32124;38000;33027;16031
10/23/2016 12:21:9;32536;42464;32975;18154
10/23/2016 12:36:9;32047;43093;32820;17950
10/23/2016 12:51:9;31919;42943;32794;17779
10/23/2016 13:6:9;30596;46099;31944;17711
10/23/2016 13:21:9;31561;43956;32536;17827
10/23/2016 13:36:9;31357;42983;32381;17288
10/23/2016 13:51:9;27481;54291;29815;17451
10/23/2016 14:6:9;30520;46890;31970;17913
10/23/2016 14:21:9;30444;46748;31816;17795
10/23/2016 14:36:9;31128;44751;32304;17721
10/23/2016 14:51:9;29690;51060;31357;18513
10/23/2016 15:6:9;26426;59344;29140;17881
10/23/2016 15:21:9;24557;67355;28072;18131
10/23/2016 15:36:9;23232;72253;27235;17982
10/23/2016 15:51:9;22250;73503;26646;17309
10/23/2016 16:6:9;21867;72714;26426;16770
10/23/2016 16:21:9;19888;84157;28866;17157
10/23/2016 16:36:9;19389;86839;32639;17162
10/23/2016 16:51:9;19318;87498;32846;17212
10/23/2016 17:6:9;19603;87566;32949;17505
10/23/2016 17:21:9;19793;87153;32613;17618
10/23/2016 17:36:9;19603;85549;29290;17136
10/23/2016 17:51:9;19508;85992;31153;17124
10/23/2016 18:6:9;19413;87617;33652;17327
10/23/2016 18:21:9;19365;88228;33730;17390
10/23/2016 18:36:9;19270;88515;34229;17348
10/23/2016 18:51:9;19127;88718;34019;17243
10/23/2016 19:6:9;19127;88505;33678;17205
10/23/2016 19:21:9;19246;88009;33600;17233
10/23/2016 19:36:9;19222;88337;34097;17269
10/23/2016 19:51:9;19175;88421;34071;17237
10/23/2016 20:6:9;19222;88647;34466;17324
10/23/2016 20:21:9;19270;88634;34413;17369
10/23/2016 20:36:9;19294;88497;33992;17368
10/23/2016 20:51:9;19365;88061;33261;17360
10/23/2016 21:6:9;19365;87941;33730;17339
10/23/2016 21:21:9;19294;88044;33704;17287
10/23/2016 21:36:9;19294;88569;34492;17381
10/23/2016 21:51:9;19222;88884;34387;17367
10/23/2016 22:6:9;19199;88807;33887;17330
10/23/2016 22:21:9;19246;88605;34071;17340
10/23/2016 22:36:9;19199;88522;33861;17279
10/23/2016 22:51:9;19056;87963;33235;17038
10/23/2016 23:6:9;18842;87768;33027;16792
10/23/2016 23:21:9;18747;87673;32665;16681
10/23/2016 23:36:9;18652;87866;32898;16622
10/23/2016 23:51:9;18580;88420;33809;16651
10/24/2016 00:6:9;18533;88692;33861;16652
10/24/2016 00:21:9;18461;88793;33730;16600
10/24/2016 00:36:9;18652;88769;33757;16783
10/24/2016 00:51:9;18652;88080;32613;16660
10/24/2016 01:6:9;18652;87579;32098;16570
10/24/2016 01:21:9;18652;87675;32433;16588
10/24/2016 01:36:9;18580;87082;30824;16411
10/24/2016 01:51:9;18390;87397;32150;16280
10/24/2016 02:6:9;18081;88156;32846;16111
10/24/2016 02:21:9;17867;88719;33209;16000
10/24/2016 02:36:9;17701;89055;33209;15895
10/24/2016 02:51:9;17510;89219;33131;15736
10/24/2016 03:6:9;17510;89476;32639;15781
10/24/2016 03:21:9;17415;89592;33001;15707
10/24/2016 03:36:9;17368;89743;32872;15686
10/24/2016 03:51:9;17272;90021;32175;15641
10/24/2016 04:6:9;17249;90293;31663;15664
10/24/2016 04:21:9;17249;90454;31230;15692
10/24/2016 04:36:9;17130;90586;31535;15597
10/24/2016 04:51:9;17082;90689;31459;15568
10/24/2016 05:6:9;17058;90752;31408;15555
10/24/2016 05:21:9;17201;90811;31868;15707
10/24/2016 05:36:9;17320;90680;31970;15802
10/24/2016 05:51:9;17772;90238;33574;16172
10/24/2016 06:6:9;18461;88486;31637;16545
10/24/2016 06:21:9;18961;84663;26989;16341
10/24/2016 06:36:9;20031;81033;25113;16699
10/24/2016 06:51:9;19984;80946;25016;16635
10/24/2016 07:6:9;21270;76879;25137;17073
10/24/2016 07:21:9;21413;74731;24508;16764
10/24/2016 07:36:9;22465;71885;25162;17164
10/24/2016 07:51:9;24871;63000;28394;17367
10/24/2016 08:6:9;23424;66550;27382;16862
10/24/2016 08:21:9;24098;61710;27924;16311
10/24/2016 08:36:9;26329;53752;29265;16226
10/24/2016 08:51:9;26989;51417;29590;16138
10/24/2016 09:6:9;27014;51066;29715;16054
10/24/2016 09:21:9;26549;51295;29414;15695
10/24/2016 09:36:9;26916;49891;29740;15599
10/24/2016 09:51:9;26940;50121;29540;15693
10/24/2016 10:6:9;29490;44127;31459;16020
10/24/2016 10:21:9;30243;40918;31637;15515
10/24/2016 10:36:9;30041;41580;31689;15585
10/24/2016 10:51:9;29290;42959;31204;15419
10/24/2016 11:6:9;30495;39018;32021;14998
10/24/2016 11:21:9;30495;39777;31996;15298
10/24/2016 11:36:9;31077;38175;32562;15175
10/24/2016 11:51:9;30444;38736;31919;14841
10/24/2016 12:6:9;31893;35840;32846;14913
10/24/2016 12:21:9;30824;37593;32047;14712
10/24/2016 12:36:9;30369;38140;31893;14533
10/24/2016 12:51:9;33521;34609;33861;15796
10/24/2016 13:6:9;33495;32750;33887;14912
10/24/2016 13:21:9;35904;27046;35262;14014
10/24/2016 13:36:9;32742;31753;33261;13780
10/24/2016 13:51:9;31204;36302;32227;14506
10/24/2016 14:6:9;32484;33484;33131;14376
10/24/2016 14:21:9;33809;30868;34019;14266
10/24/2016 14:36:9;31944;33757;32898;14031
10/24/2016 14:51:9;31204;38188;32175;15293
10/24/2016 15:6:9;30066;38560;31689;14434
10/24/2016 15:21:9;29991;40344;31612;15069
10/24/2016 15:36:9;28766;44180;30748;15385
10/24/2016 15:51:9;28394;45906;30469;15647
10/24/2016 16:6:9;27677;47539;29815;15541
10/24/2016 16:21:9;27161;47869;29615;15178
10/24/2016 16:36:9;25963;49866;28990;14717
10/24/2016 16:51:9;25550;50971;28717;14677
10/24/2016 17:6:9;25065;52533;28345;14698
10/24/2016 17:21:9;24002;56921;27850;14958
10/24/2016 17:36:9;23376;58514;27382;14802
10/24/2016 17:51:9;22968;60480;27235;14932
10/24/2016 18:6:9;22441;64314;26867;15392
10/24/2016 18:21:9;21891;67549;26549;15635
10/24/2016 18:36:9;21509;69553;26280;15728
10/24/2016 18:51:9;21127;71855;25963;15871
10/24/2016 19:6:9;20770;73681;25550;15920
10/24/2016 19:21:9;20484;75973;24968;16124
10/24/2016 19:36:9;20198;77138;24774;16086
10/24/2016 19:51:9;19817;79390;24823;16168
10/24/2016 20:6:9;19698;80705;24847;16310
10/24/2016 20:21:9;19722;80582;24895;16309
10/24/2016 20:36:9;19484;81348;25016;16226
10/24/2016 20:51:9;19318;82148;25501;16217
10/24/2016 21:6:9;18937;82793;26036;15968
10/24/2016 21:21:9;18604;83144;26207;15708
10/24/2016 21:36:9;18438;83678;26842;15645
10/24/2016 21:51:9;18390;84680;27825;15785
10/24/2016 22:6:9;18414;84513;27505;15777
10/24/2016 22:21:9;18105;83603;25817;15305
10/24/2016 22:36:9;17891;84687;27161;15296
10/24/2016 22:51:9;18033;84327;26671;15370
10/24/2016 23:6:9;18057;83864;25939;15307
10/24/2016 23:21:9;18176;83669;25793;15387
10/24/2016 23:36:9;18081;83894;26036;15336
10/24/2016 23:51:9;17938;84502;26891;15309
10/25/2016 00:6:9;17724;85479;28196;15278
10/25/2016 00:21:9;17629;86399;29890;15351
10/25/2016 00:36:9;17558;87030;30925;15395
10/25/2016 00:51:9;17510;87520;31791;15435
10/25/2016 01:6:9;17486;87823;32355;15466
10/25/2016 01:21:9;17344;88450;32820;15436
10/25/2016 01:36:9;17439;88850;32820;15600
10/25/2016 01:51:9;17510;88938;32949;15686
10/25/2016 02:6:9;17320;88727;33053;15461
10/25/2016 02:21:9;17534;89014;32975;15723
10/25/2016 02:36:9;17605;88891;32872;15772
10/25/2016 02:51:9;17439;88803;32846;15592
10/25/2016 03:6:9;17558;89067;33027;15756
10/25/2016 03:21:9;17368;89113;33027;15576
10/25/2016 03:36:9;17320;89335;32924;15568
10/25/2016 03:51:9;17486;89447;33001;15752
10/25/2016 04:6:9;17510;89242;33105;15740
10/25/2016 04:21:9;17677;88978;33079;15858
10/25/2016 04:36:9;17819;88896;33313;15984
10/25/2016 04:51:9;18010;88683;33131;16134
10/25/2016 05:6:9;18081;88441;33131;16162
10/25/2016 05:21:9;18176;88179;32949;16209
10/25/2016 05:36:9;18295;88161;32768;16323
10/25/2016 05:51:9;18319;88048;33235;16326
10/25/2016 06:6:9;18414;87952;32150;16403
10/25/2016 06:21:9;18842;86129;29240;16495
10/25/2016 06:36:9;18961;85376;28270;16473
10/25/2016 06:51:9;19175;85082;27974;16629
10/25/2016 07:6:9;19555;83932;26353;16788
10/25/2016 07:21:9;21581;77182;24871;17436
10/25/2016 07:36:9;22106;73804;24605;17235
10/25/2016 07:51:9;20531;81475;25890;17273
10/25/2016 08:6:9;20579;81178;25550;17261
10/25/2016 08:21:9;21127;79224;25525;17410
10/25/2016 08:36:9;21437;78371;25355;17539
10/25/2016 08:51:9;20627;85515;31689;18135
10/25/2016 09:6:9;21246;83914;28023;18441
10/25/2016 09:21:9;20507;82816;26842;17508
10/25/2016 09:36:9;20460;83234;27382;17542
10/25/2016 09:51:9;21987;78115;25453;18021
10/25/2016 10:6:9;23954;69430;27530;18039
10/25/2016 10:21:9;26182;61468;29240;18213
10/25/2016 10:36:9;26818;56868;29640;17570
10/25/2016 10:51:9;28468;52769;30824;17913
10/25/2016 11:6:9;26549;59638;29439;18075
10/25/2016 11:21:9;26818;59065;29615;18173
10/25/2016 11:36:9;28097;54757;30545;18158
10/25/2016 11:51:9;27751;53916;30243;17592
10/25/2016 12:6:9;27825;54117;30243;17719
10/25/2016 12:21:9;28866;52051;31103;18061
10/25/2016 12:36:9;31510;46173;32639;18566
10/25/2016 12:51:9;32510;43008;33287;18334
10/25/2016 13:6:9;30192;48440;31714;18132
10/25/2016 13:21:9;31306;45310;32665;18080
10/25/2016 13:36:9;28617;52211;30849;17881
10/25/2016 13:51:9;29665;49589;31357;18023
10/25/2016 14:6:9;29414;49460;31179;17753
10/25/2016 14:21:9;28023;52517;30343;17425
10/25/2016 14:36:9;26451;58487;29315;17673
10/25/2016 14:51:9;27702;54512;30091;17720
10/25/2016 15:6:9;26720;59235;29439;18127
10/25/2016 15:21:9;25234;62850;28717;17672
10/25/2016 15:36:9;25113;63843;28468;17807
10/25/2016 15:51:9;25283;63425;28593;17863
10/25/2016 16:6:9;24750;67243;28171;18289
10/25/2016 16:21:9;23857;70547;27801;18201
10/25/2016 16:36:9;23376;72391;27333;18151
10/25/2016 16:51:9;22920;74346;26867;18136
10/25/2016 17:6:9;22489;75784;26378;18025
10/25/2016 17:21:9;21724;78114;26231;17765
10/25/2016 17:36:9;21199;80177;26304;17669
10/25/2016 17:51:9;20865;81163;26378;17538
10/25/2016 18:6:9;20770;81245;26378;17461
10/25/2016 18:21:9;20555;82193;26818;17435
10/25/2016 18:36:9;20269;82965;27136;17304
10/25/2016 18:51:9;20150;83767;27998;17340
10/25/2016 19:6:9;19984;84477;28742;17310
10/25/2016 19:21:9;19841;84742;29015;17220
10/25/2016 19:36:9;19984;84576;28816;17329
10/25/2016 19:51:9;19912;84758;28717;17293
10/25/2016 20:6:9;19508;84170;27825;16786
10/25/2016 20:21:9;19222;85142;28965;16687
10/25/2016 20:36:9;19151;85591;29565;16700
10/25/2016 20:51:9;19127;86171;30293;16783
10/25/2016 21:6:9;19175;85817;30142;16765
10/25/2016 21:21:9;19008;85534;29590;16549
10/25/2016 21:36:9;18794;86433;31230;16503
10/25/2016 21:51:9;18866;86522;31433;16590
10/25/2016 22:6:9;18842;86565;31459;16574
10/25/2016 22:21:9;18747;86736;31842;16512
10/25/2016 22:36:9;18533;87071;31996;16362
10/25/2016 22:51:9;18461;87533;32794;16375
10/25/2016 23:6:9;18438;87575;32846;16359
10/25/2016 23:21:9;18224;87715;32717;16173
10/25/2016 23:36:9;18081;87895;33131;16065
10/25/2016 23:51:9;18105;88067;33027;16119
10/26/2016 00:6:9;18081;87919;32846;16069
10/26/2016 00:21:9;18129;87859;32742;16105
10/26/2016 00:36:9;18200;87662;32536;16140
10/26/2016 00:51:9;18176;87345;31842;16060
10/26/2016 01:6:9;17962;87366;32278;15853
10/26/2016 01:21:9;17962;87652;32433;15904
10/26/2016 01:36:9;18010;87640;32691;15949
10/26/2016 01:51:9;17843;87743;32742;15803
10/26/2016 02:6:9;17796;88040;33157;15809
10/26/2016 02:21:9;17819;87903;32562;15808
10/26/2016 02:36:9;17867;87772;32536;15832
10/26/2016 02:51:9;17701;88159;33261;15737
10/26/2016 03:6:9;17629;88614;33495;15747
10/26/2016 03:21:9;17463;88949;33548;15641
10/26/2016 03:36:9;17439;89318;33365;15683
10/26/2016 03:51:9;17534;89528;33417;15813
10/26/2016 04:6:9;17510;89569;34255;15797
10/26/2016 04:21:9;17653;89744;34492;15969
10/26/2016 04:36:9;17701;89826;33678;16030
10/26/2016 04:51:9;17819;89832;33730;16148
10/26/2016 05:6:9;17867;89704;33783;16173
10/26/2016 05:21:9;18081;89523;33914;16353
10/26/2016 05:36:9;18247;88765;33313;16383
10/26/2016 05:51:9;18343;87409;31689;16235
10/26/2016 06:6:9;18723;86392;30192;16426
10/26/2016 06:21:9;20031;80828;25428;16659
10/26/2016 06:36:9;20889;77439;25089;16817
10/26/2016 06:51:9;22202;72391;24895;17021
10/26/2016 07:6:9;22776;69359;26744;16897
10/26/2016 07:21:9;22513;71113;26451;17039
10/26/2016 07:36:9;23665;67603;27677;17339
10/26/2016 07:51:9;25162;59944;28742;16854
10/26/2016 08:6:9;24871;59229;28419;16392
10/26/2016 08:21:9;25939;56771;29140;16723
10/26/2016 08:36:9;24968;59853;28518;16648
10/26/2016 08:51:9;26036;56037;29190;16609
10/26/2016 09:6:9;27308;50233;29890;16066
10/26/2016 09:21:9;27235;51610;29941;16423
10/26/2016 09:36:9;28518;48003;30824;16460
10/26/2016 09:51:9;29590;44038;31459;16078
10/26/2016 10:6:9;30142;41455;31740;15628
10/26/2016 10:21:9;30697;38276;32330;14879
10/26/2016 10:36:9;31612;37321;32665;15296
10/26/2016 10:51:9;31842;37274;33053;15479
10/26/2016 11:6:9;32924;34058;33548;15023
10/26/2016 11:21:9;33079;33358;33626;14836
10/26/2016 11:36:9;34071;32081;33992;15090
10/26/2016 11:51:9;34097;31795;34308;14974
10/26/2016 12:6:9;34334;30513;34440;14539
10/26/2016 12:21:9;34492;30308;34519;14570
10/26/2016 12:36:9;34942;29725;34757;14656
10/26/2016 12:51:9;34783;29311;34651;14302
10/26/2016 13:6:9;34995;29693;34757;14685
10/26/2016 13:21:9;35155;29705;34810;14828
10/26/2016 13:36:9;35395;29140;35102;14735
10/26/2016 13:51:9;36688;28285;35958;15375
10/26/2016 14:6:9;35102;29519;34916;14685
10/26/2016 14:21:9;35529;29004;35049;14777
10/26/2016 14:36:9;35797;28437;35342;14699
10/26/2016 14:51:9;34413;30156;34466;14425
10/26/2016 15:6:9;32381;33511;33105;14299
10/26/2016 15:21:9;32175;33813;33105;14258
10/26/2016 15:36:9;32768;33081;33521;14436
10/26/2016 15:51:9;31893;34108;32717;14146
10/26/2016 16:6:9;30722;35449;32124;13715
10/26/2016 16:21:9;29991;35907;31561;13269
10/26/2016 16:36:9;28196;39472;30369;13131
10/26/2016 16:51:9;27161;42218;29740;13236
10/26/2016 17:6:9;26256;45125;29090;13441
10/26/2016 17:21:9;24798;50552;28245;13858
10/26/2016 17:36:9;23905;56072;27825;14634
10/26/2016 17:51:9;23256;59681;27431;14996
10/26/2016 18:6:9;22729;61312;27136;14919
10/26/2016 18:21:9;22202;63570;26818;14984
10/26/2016 18:36:9;21652;65231;26353;14864
10/26/2016 18:51:9;21246;67207;26182;14942
10/26/2016 19:6:9;20841;70049;25890;15199
10/26/2016 19:21:9;20388;72568;25501;15315
10/26/2016 19:36:9;19984;74719;25016;15380
10/26/2016 19:51:9;19651;76311;24726;15387
10/26/2016 20:6:9;19365;77625;24532;15377
10/26/2016 20:21:9;19103;79212;24581;15438
10/26/2016 20:36:9;18842;80953;24992;15523
10/26/2016 20:51:9;18628;82147;25574;15543
10/26/2016 21:6:9;18366;83364;26500;15517
10/26/2016 21:21:9;18081;84191;27456;15391
10/26/2016 21:36:9;17915;84497;27628;15284
10/26/2016 21:51:9;17772;84562;27505;15156
10/26/2016 22:6:9;17653;84535;27382;15035
10/26/2016 22:21:9;17582;84763;27604;15007
10/26/2016 22:36:9;17415;85406;28543;14961
10/26/2016 22:51:9;17249;85924;29414;14891
10/26/2016 23:6:9;17130;86113;29140;14808
10/26/2016 23:21:9;17201;85720;28617;14807
10/26/2016 23:36:9;17225;85362;27825;14766
10/26/2016 23:51:9;17058;85565;28394;14639
10/27/2016 00:6:9;17153;86143;29340;14837
10/27/2016 00:21:9;16987;86224;29290;14688
10/27/2016 00:36:9;16749;86981;30925;14589
10/27/2016 00:51:9;16606;87540;31612;14548
10/27/2016 01:6:9;16582;88053;32304;14615
10/27/2016 01:21:9;16677;88218;32433;14738
10/27/2016 01:36:9;16796;86586;28742;14566
10/27/2016 01:51:9;16915;85677;28444;14519
10/27/2016 02:6:9;16892;86441;30091;14633
10/27/2016 02:21:9;16868;87295;31791;14762
10/27/2016 02:36:9;16725;87497;31996;14658
10/27/2016 02:51:9;16701;87846;32253;14696
10/27/2016 03:6:9;16773;87651;31919;14732
10/27/2016 03:21:9;16773;87746;32073;14748
10/27/2016 03:36:9;16606;88177;32691;14660
10/27/2016 03:51:9;16534;88535;33053;14653
10/27/2016 04:6:9;16558;88821;33105;14726
10/27/2016 04:21:9;16749;89008;33235;14947
10/27/2016 04:36:9;17011;88768;32846;15163
10/27/2016 04:51:9;17011;87661;31510;14968
10/27/2016 05:6:9;17034;87619;32150;14984
10/27/2016 05:21:9;17201;87707;32253;15164
10/27/2016 05:36:9;17558;86983;30874;15386
10/27/2016 05:51:9;17962;86261;29765;15654
10/27/2016 06:6:9;18580;85141;28419;16056
10/27/2016 06:21:9;19151;83442;26646;16299
10/27/2016 06:36:9;19532;82196;25695;16435
10/27/2016 06:51:9;20031;80956;25380;16684
10/27/2016 07:6:9;20865;77169;24895;16739
10/27/2016 07:21:9;21270;76131;24968;16918
10/27/2016 07:36:9;21032;77017;25113;16870
10/27/2016 07:51:9;23232;66864;27333;16753
10/27/2016 08:6:9;25574;58724;28990;16916
10/27/2016 08:21:9;26036;54784;29240;16253
10/27/2016 08:36:9;26793;49486;29640;15359
10/27/2016 08:51:9;27308;49844;29966;15944
10/27/2016 09:6:9;27727;46787;29966;15337
10/27/2016 09:21:9;28221;42604;30646;14329
10/27/2016 09:36:9;28941;41122;31179;14427
10/27/2016 09:51:9;29240;41188;31204;14719
10/27/2016 10:6:9;29290;41159;31331;14753
10/27/2016 10:21:9;29640;40991;31663;15003
10/27/2016 10:36:9;30293;38548;31919;14631
10/27/2016 10:51:9;30495;38949;31586;14971
10/27/2016 11:6:9;31689;36769;32381;15131
10/27/2016 11:21:9;31382;37927;32536;15344
10/27/2016 11:36:9;31893;34816;32898;14464
10/27/2016 11:51:9;31128;38736;32433;15448
10/27/2016 12:6:9;31459;37586;32407;15271
10/27/2016 12:21:9;33131;36026;33521;16082
10/27/2016 12:36:9;33105;34643;33704;15447
10/27/2016 12:51:9;32458;41187;33365;17599
10/27/2016 13:6:9;31306;44097;32587;17648
10/27/2016 13:21:9;30520;46056;32047;17627
10/27/2016 13:36:9;30091;47602;31689;17762
10/27/2016 13:51:9;29740;48516;31510;17744
10/27/2016 14:6:9;29540;49148;31433;17766
10/27/2016 14:21:9;29414;49460;31306;17753
10/27/2016 14:36:9;29365;49650;31408;17768
10/27/2016 14:51:9;29290;49967;31230;17800
10/27/2016 15:6:9;29140;50241;31179;17750
