data_vaca;tbs;ur;tgn;tpo
10/21/16 12h14min7s;20.222;79.548;19.888;16.584
10/21/16 12h29min7s;20.198;79.713;19.817;16.590
10/21/16 12h44min7s;20.031;79.452;19.484;16.380
10/21/16 12h59min7s;19.674;79.658;18.889;16.069
10/21/16 01h14min7s;19.627;80.126;19.080;16.107
10/21/16 01h29min7s;19.555;80.476;18.961;16.100
10/21/16 01h44min7s;19.627;80.660;19.246;16.202
10/21/16 01h59min7s;19.627;80.884;19.246;16.242
10/21/16 02h14min7s;19.532;81.032;19.199;16.175
10/21/16 02h29min7s;19.460;80.988;19.151;16.098
10/21/16 02h44min7s;19.413;80.950;19.199;16.044
10/21/16 02h59min7s;19.460;80.904;19.222;16.083
10/21/16 03h14min7s;19.508;80.858;19.270;16.121
10/21/16 03h29min7s;19.508;80.774;19.246;16.106
10/21/16 03h44min7s;19.555;80.757;19.246;16.150
10/21/16 03h59min7s;19.555;80.757;19.294;16.150
10/21/16 04h14min7s;19.484;80.853;19.246;16.097
10/21/16 04h29min7s;19.175;81.402;18.557;15.891
10/21/16 04h44min7s;19.032;81.482;18.414;15.766
10/21/16 04h59min7s;18.985;81.527;18.366;15.727
10/21/16 05h14min7s;19.032;81.538;18.557;15.775
10/21/16 05h29min7s;19.175;81.569;18.961;15.921
10/21/16 05h44min7s;19.294;81.623;19.413;16.047
10/21/16 05h59min7s;19.508;81.614;19.984;16.255
10/21/16 06h14min7s;19.651;81.533;20.460;16.381
10/21/16 06h29min7s;19.841;81.323;20.793;16.530
10/21/16 06h44min7s;20.079;81.066;21.533;16.717
10/21/16 06h59min7s;20.317;80.527;22.178;16.854
10/21/16 07h14min7s;20.817;79.618;23.497;17.178
10/21/16 07h29min7s;21.151;78.838;23.689;17.360
10/21/16 07h44min7s;21.628;77.711;25.331;17.615
10/21/16 07h59min7s;22.776;76.192;29.790;18.440
10/21/16 08h14min7s;23.833;72.905;32.047;18.805
10/21/16 08h29min7s;24.388;69.342;31.868;18.583
10/21/16 08h44min7s;24.944;67.617;33.443;18.734
10/21/16 08h59min7s;26.085;66.006;35.877;19.455
10/21/16 09h14min7s;27.431;62.903;40.833;19.991
10/21/16 09h29min7s;27.677;61.028;38.840;19.753
10/21/16 09h44min7s;27.677;60.345;37.783;19.578
10/21/16 09h59min7s;28.369;53.499;37.398;18.348
10/21/16 10h14min7s;27.308;58.326;32.768;18.703
10/21/16 10h29min7s;28.444;57.117;40.978;19.440
10/21/16 10h44min7s;28.692;56.082;39.914;19.385
10/21/16 10h59min7s;29.815;52.677;45.311;19.444
10/21/16 11h14min7s;29.540;51.260;41.972;18.759
10/21/16 11h29min7s;30.520;50.196;44.442;19.330
10/21/16 11h44min7s;31.026;49.775;45.373;19.662
10/21/16 11h59min7s;31.816;45.131;;18.822
10/21/16 12h14min7s;31.893;45.404;43.254;18.987
10/21/16 12h29min7s;30.394;44.931;36.661;17.462
10/21/16 12h44min7s;31.281;45.134;;18.337
10/21/16 12h59min7s;32.433;44.410;;19.122
10/21/16 01h14min7s;32.691;44.572;48.271;19.414
10/21/16 01h29min7s;32.124;41.252;40.314;17.665
10/21/16 01h44min7s;32.073;40.479;44.968;17.317
10/21/16 01h59min7s;31.357;43.063;35.931;17.659
10/21/16 02h14min7s;31.663;42.832;41.298;17.850
10/21/16 02h29min7s;30.874;46.006;33.313;18.272
10/21/16 02h44min7s;29.365;50.271;30.545;18.291
10/21/16 02h59min7s;28.990;53.363;30.545;18.883
10/21/16 03h14min7s;29.115;53.794;33.783;19.126
10/21/16 03h29min7s;29.140;53.288;32.484;19.000
10/21/16 03h44min7s;28.543;55.554;31.740;19.099
10/21/16 03h59min7s;27.087;59.507;26.818;18.806
10/21/16 04h14min7s;26.182;61.531;25.647;18.469
10/21/16 04h29min7s;26.061;62.280;25.866;18.540
10/21/16 04h44min7s;25.768;62.906;25.331;18.417
10/21/16 04h59min7s;25.380;63.850;24.871;18.276
10/21/16 05h14min7s;24.968;64.935;24.339;18.141
10/21/16 05h29min7s;24.677;65.612;24.098;18.023
10/21/16 05h44min7s;24.291;66.901;23.665;17.949
10/21/16 05h59min7s;23.930;67.288;23.328;17.690
10/21/16 06h14min7s;23.545;67.847;22.992;17.447
10/21/16 06h29min7s;23.208;68.800;22.681;17.334
10/21/16 06h44min7s;22.753;69.578;22.178;17.065
10/21/16 06h59min7s;22.298;71.204;21.676;16.971
10/21/16 07h14min7s;22.058;71.511;21.557;16.805
10/21/16 07h29min7s;21.843;72.231;21.318;16.746
10/21/16 07h44min7s;21.652;73.012;21.127;16.720
10/21/16 07h59min7s;21.366;72.315;20.841;16.302
10/21/16 08h14min7s;20.936;72.291;20.341;15.883
10/21/16 08h29min7s;20.674;73.692;19.984;15.911
10/21/16 08h44min7s;20.484;74.810;19.770;15.946
10/21/16 08h59min7s;20.531;75.682;20.103;16.161
10/21/16 09h14min7s;20.460;76.413;19.912;16.232
10/21/16 09h29min7s;20.317;76.870;19.746;16.180
10/21/16 09h44min7s;20.222;77.278;19.674;16.164
10/21/16 09h59min7s;20.174;77.553;19.722;16.169
10/21/16 10h14min7s;20.222;77.649;19.817;16.233
10/21/16 10h29min7s;20.222;77.905;19.841;16.281
10/21/16 10h44min7s;20.174;78.065;19.865;16.265
10/21/16 10h59min7s;20.007;78.343;19.555;16.154
10/21/16 11h14min7s;19.888;78.799;19.389;16.122
10/21/16 11h29min7s;19.817;78.954;19.413;16.080
10/21/16 11h44min7s;19.674;78.924;19.175;15.935
10/21/16 11h59min7s;19.579;79.356;19.056;15.921
10/22/16 12h14min7s;19.555;79.745;19.127;15.968
10/22/16 12h29min7s;19.484;80.011;18.913;15.947
10/22/16 12h44min7s;19.413;80.108;18.842;15.894
10/22/16 12h59min7s;19.508;80.353;19.199;16.031
10/22/16 01h14min7s;19.579;80.425;19.222;16.114
10/22/16 01h29min7s;19.627;80.548;19.318;16.182
10/22/16 01h44min7s;19.698;80.619;19.389;16.265
10/22/16 01h59min7s;19.603;80.879;18.937;16.218
10/22/16 02h14min7s;19.508;81.362;18.913;16.211
10/22/16 02h29min7s;19.413;81.677;18.913;16.173
10/22/16 02h44min7s;19.389;81.979;18.889;16.202
10/22/16 02h59min7s;19.175;82.182;18.604;16.028
10/22/16 03h14min7s;19.175;82.266;18.675;16.042
10/22/16 03h29min7s;19.175;82.349;18.723;16.057
10/22/16 03h44min7s;19.103;82.500;18.628;16.013
10/22/16 03h59min7s;19.080;82.551;18.675;15.998
10/22/16 04h14min7s;18.961;82.580;18.485;15.887
10/22/16 04h29min7s;18.818;82.631;18.343;15.756
10/22/16 04h44min7s;18.747;82.699;18.319;15.697
10/22/16 04h59min7s;18.675;82.738;18.319;15.634
10/22/16 05h14min7s;18.723;82.804;18.414;15.692
10/22/16 05h29min7s;18.771;82.815;18.557;15.741
10/22/16 05h44min7s;18.842;82.831;18.913;15.813
10/22/16 05h59min7s;19.032;82.845;19.532;16.003
10/22/16 06h14min7s;19.318;82.798;20.746;16.275
10/22/16 06h29min7s;19.722;82.665;22.393;16.649
10/22/16 06h44min7s;20.460;82.354;25.040;17.318
10/22/16 06h59min7s;20.126;81.665;21.891;16.870
10/22/16 07h14min7s;20.412;81.279;23.088;17.082
10/22/16 07h29min7s;20.889;80.509;24.122;17.410
10/22/16 07h44min7s;21.103;78.998;24.219;17.344
10/22/16 07h59min7s;21.175;78.302;24.195;17.284
10/22/16 08h14min7s;22.154;77.189;28.369;18.027
10/22/16 08h29min7s;23.376;72.084;30.041;18.194
10/22/16 08h44min7s;24.436;68.873;30.545;18.527
10/22/16 08h59min7s;24.750;66.440;30.495;18.282
10/22/16 09h14min7s;24.944;65.295;30.545;18.202
10/22/16 09h29min7s;25.817;63.465;32.949;18.598
10/22/16 09h44min7s;26.012;62.609;33.548;18.575
10/22/16 09h59min7s;27.112;60.039;35.208;18.967
10/22/16 10h14min7s;26.842;60.059;32.768;18.718
10/22/16 10h29min7s;26.965;60.078;33.287;18.839
10/22/16 10h44min7s;28.072;56.873;39.886;19.026
10/22/16 10h59min7s;27.974;57.926;37.178;19.219
10/22/16 11h14min7s;27.653;56.466;33.287;18.522
10/22/16 11h29min7s;27.308;56.384;32.536;18.178
10/22/16 11h44min7s;29.065;52.958;40.487;18.833
10/22/16 11h59min7s;28.642;53.187;34.651;18.509
10/22/16 12h14min7s;28.048;53.518;32.975;18.055
10/22/16 12h29min7s;27.899;53.052;32.587;17.781
10/22/16 12h44min7s;28.468;52.397;35.770;18.114
10/22/16 12h59min7s;29.215;51.056;36.661;18.397
10/22/16 01h14min7s;29.190;50.570;35.128;18.224
10/22/16 01h29min7s;28.543;50.870;32.433;17.721
10/22/16 01h44min7s;29.065;51.646;36.119;18.439
10/22/16 01h59min7s;30.394;49.726;43.616;19.065
10/22/16 02h14min7s;30.293;48.675;42.060;18.635
10/22/16 02h29min7s;28.816;50.231;33.730;17.775
10/22/16 02h44min7s;30.520;49.191;44.905;19.010
10/22/16 02h59min7s;29.464;48.246;31.868;17.737
10/22/16 03h14min7s;29.240;49.642;38.756;17.979
10/22/16 03h29min7s;29.414;49.503;32.510;18.095
10/22/16 03h44min7s;28.147;50.658;29.065;17.290
10/22/16 03h59min7s;27.776;51.792;29.215;17.293
10/22/16 04h14min7s;28.394;52.802;32.846;18.166
10/22/16 04h29min7s;27.112;55.285;27.186;17.690
10/22/16 04h44min7s;26.207;57.723;26.036;17.510
10/22/16 04h59min7s;25.768;59.798;25.380;17.640
10/22/16 05h14min7s;25.307;60.744;24.847;17.446
10/22/16 05h29min7s;24.484;65.186;23.472;17.740
10/22/16 05h44min7s;23.617;67.532;22.585;17.446
10/22/16 05h59min7s;23.088;68.838;22.202;17.227
10/22/16 06h14min7s;22.800;70.591;21.939;17.327
10/22/16 06h29min7s;22.226;71.895;21.461;17.045
10/22/16 06h44min7s;21.652;73.244;20.817;16.767
10/22/16 06h59min7s;21.318;74.513;20.531;16.696
10/22/16 07h14min7s;21.127;74.822;20.484;16.572
10/22/16 07h29min7s;20.960;75.049;20.341;16.455
10/22/16 07h44min7s;20.698;75.543;20.055;16.296
10/22/16 07h59min7s;20.603;76.328;20.055;16.354
10/22/16 08h14min7s;20.341;76.703;19.508;16.171
10/22/16 08h29min7s;20.174;77.496;19.389;16.159
10/22/16 08h44min7s;20.031;77.609;19.318;16.041
10/22/16 08h59min7s;19.865;77.603;19.151;15.877
10/22/16 09h14min7s;20.007;77.889;19.698;16.069
10/22/16 09h29min7s;20.103;77.937;19.817;16.171
10/22/16 09h44min7s;20.103;78.249;19.793;16.229
10/22/16 09h59min7s;20.055;78.580;19.603;16.244
10/22/16 10h14min7s;20.055;78.750;19.746;16.275
10/22/16 10h29min7s;19.984;79.102;19.365;16.270
10/22/16 10h44min7s;19.936;79.460;19.627;16.289
10/22/16 10h59min7s;19.912;79.398;19.579;16.254
10/22/16 11h14min7s;19.817;79.632;19.246;16.204
10/22/16 11h29min7s;19.674;80.277;19.080;16.180
10/22/16 11h44min7s;19.365;80.603;18.628;15.936
10/22/16 11h59min7s;19.341;80.878;18.747;15.962
10/23/16 12h14min7s;19.151;80.921;18.319;15.783
10/23/16 12h29min7s;18.771;81.034;18.057;15.431
10/23/16 12h44min7s;18.699;81.214;18.129;15.392
10/23/16 12h59min7s;18.533;81.317;17.772;15.248
10/23/16 01h14min7s;18.247;81.450;17.391;14.991
10/23/16 01h29min7s;18.105;81.557;17.391;14.870
10/23/16 01h44min7s;18.057;81.603;17.344;14.831
10/23/16 01h59min7s;17.915;81.738;17.201;14.715
10/23/16 02h14min7s;17.819;81.856;17.130;14.642
10/23/16 02h29min7s;17.796;81.961;17.082;14.637
10/23/16 02h44min7s;17.748;82.062;17.153;14.608
10/23/16 02h59min7s;17.843;82.138;17.344;14.714
10/23/16 03h14min7s;17.986;82.197;17.534;14.864
10/23/16 03h29min7s;18.010;82.230;17.558;14.893
10/23/16 03h44min7s;17.938;82.353;17.368;14.844
10/23/16 03h59min7s;17.891;82.453;17.368;14.815
10/23/16 04h14min7s;17.748;82.587;17.130;14.698
10/23/16 04h29min7s;17.772;82.703;17.249;14.741
10/23/16 04h44min7s;17.701;82.770;17.082;14.682
10/23/16 04h59min7s;17.582;82.827;16.987;14.575
10/23/16 05h14min7s;17.605;82.887;17.177;14.609
10/23/16 05h29min7s;17.843;82.913;18.366;14.847
10/23/16 05h44min7s;18.129;82.921;18.652;15.128
10/23/16 05h59min7s;18.699;82.910;20.841;15.687
10/23/16 06h14min7s;19.175;82.572;20.984;16.096
10/23/16 06h29min7s;19.389;82.118;21.342;16.227
10/23/16 06h44min7s;20.507;81.271;25.598;17.174
10/23/16 06h59min7s;21.270;77.751;26.353;17.274
10/23/16 07h14min7s;22.417;75.194;28.692;17.896
10/23/16 07h29min7s;23.064;70.877;29.090;17.641
10/23/16 07h44min7s;23.905;67.583;30.950;17.733
10/23/16 07h59min7s;23.978;65.613;30.369;17.356
10/23/16 08h14min7s;24.508;63.552;30.748;17.378
10/23/16 08h29min7s;25.113;63.196;31.714;17.866
10/23/16 08h44min7s;25.720;60.686;32.665;17.820
10/23/16 08h59min7s;25.866;59.411;32.458;17.632
10/23/16 09h14min7s;26.720;58.143;34.519;18.102
10/23/16 09h29min7s;26.989;56.588;34.598;17.936
10/23/16 09h44min7s;27.259;55.243;35.208;17.815
10/23/16 09h59min7s;28.196;51.561;35.958;17.612
10/23/16 10h14min7s;28.245;49.803;36.933;17.116
10/23/16 10h29min7s;28.667;48.696;37.315;17.152
10/23/16 10h44min7s;29.490;43.281;39.403;16.055
10/23/16 10h59min7s;29.991;43.008;41.854;16.408
10/23/16 11h14min7s;30.041;41.956;39.516;16.064
10/23/16 11h29min7s;30.469;41.605;41.414;16.317
10/23/16 11h44min7s;31.077;43.527;41.590;17.577
10/23/16 11h59min7s;30.596;44.429;39.177;17.467
10/23/16 12h14min7s;29.740;50.610;38.980;18.743
10/23/16 12h29min7s;29.565;51.745;39.743;18.931
10/23/16 12h44min7s;29.464;52.661;41.239;19.115
10/23/16 12h59min7s;28.543;54.064;35.395;18.673
10/23/16 01h14min7s;29.290;51.836;40.314;18.705
10/23/16 01h29min7s;29.615;50.851;41.678;18.702
10/23/16 01h44min7s;28.692;53.194;32.458;18.557
10/23/16 01h59min7s;27.235;57.408;32.073;18.388
10/23/16 02h14min7s;28.866;54.396;33.287;19.069
10/23/16 02h29min7s;28.097;54.794;31.510;18.468
10/23/16 02h44min7s;29.040;52.507;33.992;18.676
10/23/16 02h59min7s;26.646;61.327;27.924;18.856
10/23/16 03h14min7s;25.283;65.323;26.182;18.532
10/23/16 03h29min7s;23.954;70.776;24.581;18.475
10/23/16 03h44min7s;23.280;69.200;23.761;17.490
10/23/16 03h59min7s;22.633;67.804;22.058;16.565
10/23/16 04h14min7s;21.891;70.010;20.246;16.329
10/23/16 04h29min7s;20.865;73.266;19.341;16.010
10/23/16 04h44min7s;20.627;74.290;19.294;15.983
10/23/16 04h59min7s;20.460;76.155;19.460;16.183
10/23/16 05h14min7s;20.579;77.495;19.770;16.552
10/23/16 05h29min7s;20.460;78.068;19.627;16.544
10/23/16 05h44min7s;20.198;78.184;19.555;16.310
10/23/16 05h59min7s;20.103;78.590;19.222;16.292
10/23/16 06h14min7s;20.055;79.598;19.294;16.430
10/23/16 06h29min7s;19.984;80.118;19.294;16.454
10/23/16 06h44min7s;19.888;80.463;19.222;16.423
10/23/16 06h59min7s;19.722;80.905;19.151;16.339
10/23/16 07h14min7s;19.674;81.035;19.175;16.316
10/23/16 07h29min7s;19.746;80.938;19.246;16.368
10/23/16 07h44min7s;19.722;80.961;19.270;16.349
10/23/16 07h59min7s;19.698;81.292;19.294;16.385
10/23/16 08h14min7s;19.746;81.582;19.365;16.482
10/23/16 08h29min7s;19.770;81.587;19.389;16.507
10/23/16 08h44min7s;19.746;81.610;19.413;16.487
10/23/16 08h59min7s;19.770;81.559;19.484;16.502
10/23/16 09h14min7s;19.770;81.643;19.436;16.517
10/23/16 09h29min7s;19.722;81.717;19.365;16.483
10/23/16 09h44min7s;19.698;81.739;19.318;16.464
10/23/16 09h59min7s;19.722;81.856;19.389;16.507
10/23/16 10h14min7s;19.627;81.891;19.318;16.420
10/23/16 10h29min7s;19.603;81.942;19.318;16.406
10/23/16 10h44min7s;19.508;81.977;19.246;16.319
10/23/16 10h59min7s;19.270;81.925;18.866;16.076
10/23/16 11h14min7s;19.127;82.033;18.818;15.955
10/23/16 11h29min7s;19.080;82.078;18.818;15.916
10/23/16 11h44min7s;18.985;82.140;18.604;15.834
10/23/16 11h59min7s;18.961;82.219;18.628;15.824
10/24/16 12h14min7s;18.889;82.258;18.438;15.761
10/24/16 12h29min7s;18.913;82.347;18.699;15.800
10/24/16 12h44min7s;19.008;82.340;18.794;15.892
10/24/16 12h59min7s;18.937;82.352;18.723;15.824
10/24/16 01h14min7s;18.937;82.352;18.794;15.824
10/24/16 01h29min7s;18.937;82.297;18.771;15.815
10/24/16 01h44min7s;18.794;82.265;18.628;15.669
10/24/16 01h59min7s;18.628;82.284;18.200;15.509
10/24/16 02h14min7s;18.295;82.432;17.605;15.208
10/24/16 02h29min7s;18.152;82.594;17.605;15.096
10/24/16 02h44min7s;18.010;82.673;17.463;14.969
10/24/16 02h59min7s;17.867;82.807;17.368;14.852
10/24/16 03h14min7s;17.867;82.918;17.415;14.871
10/24/16 03h29min7s;17.796;82.985;17.344;14.812
10/24/16 03h44min7s;17.677;83.041;17.130;14.705
10/24/16 03h59min7s;17.629;83.141;17.130;14.675
10/24/16 04h14min7s;17.629;83.223;17.225;14.689
10/24/16 04h29min7s;17.582;83.295;17.106;14.655
10/24/16 04h44min7s;17.510;83.362;17.011;14.596
10/24/16 04h59min7s;17.415;83.423;16.868;14.513
10/24/16 05h14min7s;17.415;83.478;16.987;14.522
10/24/16 05h29min7s;17.486;83.466;17.296;14.590
10/24/16 05h44min7s;17.701;83.432;17.677;14.795
10/24/16 05h59min7s;17.986;83.358;18.319;15.063
10/24/16 06h14min7s;18.485;83.194;20.507;15.525
10/24/16 06h29min7s;18.866;82.919;21.867;15.852
10/24/16 06h44min7s;19.246;82.448;21.676;16.144
10/24/16 06h59min7s;19.555;82.099;21.652;16.387
10/24/16 07h14min7s;20.484;81.351;24.508;17.164
10/24/16 07h29min7s;20.841;80.132;24.581;17.295
10/24/16 07h44min7s;22.011;78.047;28.717;18.051
10/24/16 07h59min7s;22.537;74.986;26.989;17.971
10/24/16 08h14min7s;22.513;72.418;26.500;17.430
10/24/16 08h29min7s;23.328;70.955;30.142;17.911
10/24/16 08h44min7s;24.557;67.968;32.175;18.442
10/24/16 08h59min7s;24.871;65.252;31.026;18.123
10/24/16 09h14min7s;25.477;62.369;32.639;18.009
10/24/16 09h29min7s;25.331;61.332;30.849;17.616
10/24/16 09h44min7s;25.258;60.675;29.565;17.382
10/24/16 09h59min7s;25.963;59.953;33.678;17.863
10/24/16 10h14min7s;27.136;55.981;35.823;17.906
10/24/16 10h29min7s;27.431;55.015;35.049;17.911
10/24/16 10h44min7s;27.530;54.207;34.071;17.773
10/24/16 10h59min7s;27.554;52.846;35.502;17.401
10/24/16 11h14min7s;28.196;50.247;35.931;17.209
10/24/16 11h29min7s;28.841;49.429;38.952;17.545
10/24/16 11h44min7s;28.692;49.507;36.308;17.433
10/24/16 11h59min7s;28.593;48.266;35.102;16.946
10/24/16 12h14min7s;28.667;48.664;33.652;17.142
10/24/16 12h29min7s;29.540;46.042;38.421;17.071
10/24/16 12h44min7s;28.617;46.387;32.278;16.348
10/24/16 12h59min7s;30.469;44.513;41.414;17.382
10/24/16 01h14min7s;30.596;44.264;39.971;17.408
10/24/16 01h29min7s;31.535;41.056;42.238;17.062
10/24/16 01h44min7s;30.217;41.843;34.624;16.180
10/24/16 01h59min7s;29.290;45.064;31.663;16.507
10/24/16 02h14min7s;30.646;42.983;40.028;16.990
10/24/16 02h29min7s;30.520;41.743;35.288;16.414
10/24/16 02h44min7s;30.243;44.749;36.498;17.261
10/24/16 02h59min7s;29.740;44.559;33.079;16.738
10/24/16 03h14min7s;29.190;45.771;32.201;16.660
10/24/16 03h29min7s;29.190;46.815;31.714;17.013
10/24/16 03h44min7s;29.389;47.880;33.730;17.549
10/24/16 03h59min7s;28.543;48.519;29.790;16.982
10/24/16 04h14min7s;28.048;49.262;29.890;16.765
10/24/16 04h29min7s;27.186;50.210;27.702;16.268
10/24/16 04h44min7s;26.304;51.371;26.622;15.808
10/24/16 04h59min7s;25.963;52.595;26.793;15.854
10/24/16 05h14min7s;25.040;54.013;24.315;15.405
10/24/16 05h29min7s;24.171;56.701;23.136;15.331
10/24/16 05h44min7s;23.617;58.723;22.729;15.341
10/24/16 05h59min7s;23.160;60.587;22.178;15.381
10/24/16 06h14min7s;22.729;63.498;21.748;15.676
10/24/16 06h29min7s;22.321;64.847;21.270;15.603
10/24/16 06h44min7s;21.963;66.194;20.889;15.567
10/24/16 06h59min7s;21.604;67.531;20.531;15.521
10/24/16 07h14min7s;21.270;68.272;20.198;15.362
10/24/16 07h29min7s;21.008;69.582;20.031;15.390
10/24/16 07h44min7s;20.722;70.644;19.674;15.338
10/24/16 07h59min7s;20.436;72.166;19.484;15.375
10/24/16 08h14min7s;20.341;73.164;19.579;15.483
10/24/16 08h29min7s;20.317;73.304;19.627;15.488
10/24/16 08h44min7s;20.031;74.317;19.032;15.411
10/24/16 08h59min7s;19.817;75.108;18.818;15.358
10/24/16 09h14min7s;19.484;75.815;18.414;15.170
10/24/16 09h29min7s;19.151;76.318;18.129;14.942
10/24/16 09h44min7s;19.008;76.744;18.081;14.883
10/24/16 09h59min7s;18.961;77.331;18.176;14.947
10/24/16 10h14min7s;18.913;77.548;18.105;14.940
10/24/16 10h29min7s;18.509;77.606;17.605;14.557
10/24/16 10h44min7s;18.438;78.128;17.843;14.584
10/24/16 10h59min7s;18.533;78.232;18.057;14.696
10/24/16 11h14min7s;18.485;78.166;17.867;14.637
10/24/16 11h29min7s;18.509;78.284;17.867;14.682
10/24/16 11h44min7s;18.414;78.433;17.629;14.616
10/24/16 11h59min7s;18.295;78.943;17.439;14.593
10/25/16 12h14min7s;18.176;79.395;17.320;14.558
10/25/16 12h29min7s;18.105;79.716;17.272;14.546
10/25/16 12h44min7s;18.033;80.092;17.201;14.543
10/25/16 12h59min7s;18.057;80.293;17.249;14.602
10/25/16 01h14min7s;17.986;80.696;17.130;14.603
10/25/16 01h29min7s;17.962;80.914;17.177;14.618
10/25/16 01h44min7s;18.033;81.208;17.391;14.739
10/25/16 01h59min7s;18.010;81.314;17.296;14.735
10/25/16 02h14min7s;17.891;81.399;17.201;14.633
10/25/16 02h29min7s;18.081;81.580;17.653;14.851
10/25/16 02h44min7s;18.081;81.469;17.510;14.831
10/25/16 02h59min7s;17.986;81.643;17.391;14.768
10/25/16 03h14min7s;18.010;81.731;17.463;14.807
10/25/16 03h29min7s;17.867;81.811;17.225;14.681
10/25/16 03h44min7s;17.843;81.889;17.320;14.671
10/25/16 03h59min7s;17.938;81.993;17.534;14.782
10/25/16 04h14min7s;17.986;82.003;17.582;14.831
10/25/16 04h29min7s;18.081;82.108;17.724;14.942
10/25/16 04h44min7s;18.247;82.144;18.010;15.112
10/25/16 04h59min7s;18.366;82.171;18.057;15.233
10/25/16 05h14min7s;18.485;82.141;18.152;15.344
10/25/16 05h29min7s;18.557;82.129;18.343;15.412
10/25/16 05h44min7s;18.652;82.150;18.390;15.509
10/25/16 05h59min7s;18.628;82.173;18.366;15.490
10/25/16 06h14min7s;18.747;82.171;19.175;15.606
10/25/16 06h29min7s;18.985;82.057;19.698;15.819
10/25/16 06h44min7s;19.056;81.961;19.389;15.873
10/25/16 06h59min7s;19.318;81.712;19.888;16.086
10/25/16 07h14min7s;19.865;81.412;21.987;16.569
10/25/16 07h29min7s;21.533;79.940;26.744;17.936
10/25/16 07h44min7s;21.390;77.347;23.064;17.313
10/25/16 07h59min7s;20.770;79.127;21.223;17.041
10/25/16 08h14min7s;20.817;79.052;22.609;17.074
10/25/16 08h29min7s;21.318;78.645;23.160;17.487
10/25/16 08h44min7s;21.079;78.823;21.008;17.288
10/25/16 08h59min7s;21.223;79.987;23.184;17.642
10/25/16 09h14min7s;21.103;79.934;21.963;17.515
10/25/16 09h29min7s;20.793;80.179;22.154;17.257
10/25/16 09h44min7s;20.841;80.556;22.657;17.372
10/25/16 09h59min7s;21.939;79.572;26.965;18.265
10/25/16 10h14min7s;23.641;75.670;30.041;19.176
10/25/16 10h29min7s;24.532;67.334;30.142;18.277
10/25/16 10h44min7s;25.647;65.051;32.381;18.815
10/25/16 10h59min7s;26.965;61.810;32.820;19.278
10/25/16 11h14min7s;25.695;63.963;28.444;18.603
10/25/16 11h29min7s;26.598;62.551;32.587;19.115
10/25/16 11h44min7s;27.210;60.303;32.872;19.127
10/25/16 11h59min7s;26.965;60.512;31.893;18.950
10/25/16 12h14min7s;27.308;58.232;32.665;18.678
10/25/16 12h29min7s;28.841;57.868;38.087;20.016
10/25/16 12h44min7s;29.515;54.169;36.552;19.606
10/25/16 12h59min7s;30.041;52.932;35.985;19.729
10/25/16 01h14min7s;29.464;53.939;35.770;19.492
10/25/16 01h29min7s;28.791;54.322;31.382;18.978
10/25/16 01h44min7s;27.949;55.847;30.419;18.627
10/25/16 01h59min7s;28.617;54.742;31.484;18.937
10/25/16 02h14min7s;29.365;52.935;34.572;19.104
10/25/16 02h29min7s;27.382;56.834;27.727;18.370
10/25/16 02h44min7s;26.818;58.220;28.444;18.215
10/25/16 02h59min7s;27.333;57.235;29.315;18.433
10/25/16 03h14min7s;26.158;60.478;26.256;18.181
10/25/16 03h29min7s;25.404;61.989;25.841;17.847
10/25/16 03h44min7s;25.283;63.040;25.841;17.989
10/25/16 03h59min7s;25.453;63.099;26.012;18.164
10/25/16 04h14min7s;24.774;66.052;24.605;18.216
10/25/16 04h29min7s;24.195;68.023;24.098;18.108
10/25/16 04h44min7s;23.593;68.959;23.232;17.737
10/25/16 04h59min7s;23.352;70.280;23.088;17.791
10/25/16 05h14min7s;22.896;71.434;22.345;17.596
10/25/16 05h29min7s;22.034;73.668;20.698;17.221
10/25/16 05h44min7s;21.676;75.191;20.698;17.176
10/25/16 05h59min7s;21.366;76.310;20.627;17.092
10/25/16 06h14min7s;21.223;76.712;20.603;17.030
10/25/16 06h29min7s;20.960;77.887;20.198;16.997
10/25/16 06h44min7s;20.722;78.208;20.007;16.825
10/25/16 06h59min7s;20.603;78.581;19.960;16.778
10/25/16 07h14min7s;20.460;78.891;19.817;16.696
10/25/16 07h29min7s;20.412;79.476;19.960;16.757
10/25/16 07h44min7s;20.436;79.255;19.936;16.739
10/25/16 07h59min7s;20.174;79.143;19.579;16.463
10/25/16 08h14min7s;19.841;79.524;19.175;16.207
10/25/16 08h29min7s;19.603;80.233;18.985;16.103
10/25/16 08h44min7s;19.484;80.517;18.818;16.037
10/25/16 08h59min7s;19.579;80.902;19.222;16.199
10/25/16 09h14min7s;19.555;80.785;19.151;16.155
10/25/16 09h29min7s;19.318;80.789;18.699;15.923
10/25/16 09h44min7s;19.270;81.031;18.771;15.919
10/25/16 09h59min7s;19.294;81.092;18.842;15.953
10/25/16 10h14min7s;19.222;81.244;18.652;15.910
10/25/16 10h29min7s;19.080;81.409;18.509;15.799
10/25/16 10h44min7s;18.913;81.623;18.295;15.674
10/25/16 10h59min7s;18.866;81.780;18.319;15.655
10/25/16 11h14min7s;18.747;81.893;18.105;15.558
10/25/16 11h29min7s;18.557;82.046;17.867;15.398
10/25/16 11h44min7s;18.438;82.131;17.891;15.296
10/25/16 11h59min7s;18.485;82.225;18.200;15.359
10/26/16 12h14min7s;18.461;82.303;18.200;15.349
10/26/16 12h29min7s;18.485;82.391;18.247;15.388
