data_vaca;tbs;ur;tgn;tpo
10/17/16 03h59min7s;17.486;82.363;16.963;14.403
10/17/16 04h14min7s;17.510;82.424;16.868;14.436
10/17/16 04h29min7s;17.510;82.479;16.963;14.446
10/17/16 04h44min7s;17.653;82.539;17.106;14.596
10/17/16 04h59min7s;17.510;82.535;16.749;14.455
10/17/16 05h14min7s;17.344;82.580;16.654;14.300
10/17/16 05h29min7s;17.510;82.645;18.390;14.474
10/17/16 05h44min7s;18.129;82.506;19.817;15.057
10/17/16 05h59min7s;18.794;82.265;22.729;15.669
10/17/16 06h14min7s;18.723;81.665;19.674;15.495
10/17/16 06h29min7s;19.103;81.442;21.581;15.828
10/17/16 06h44min7s;19.746;80.826;24.798;16.348
10/17/16 06h59min7s;20.936;77.768;27.431;16.952
10/17/16 07h14min7s;22.034;73.755;28.717;17.239
10/17/16 07h29min7s;22.920;69.460;29.916;17.201
10/17/16 07h44min7s;23.232;65.063;28.766;16.519
10/17/16 07h59min7s;23.857;63.231;30.798;16.684
10/17/16 08h14min7s;24.050;62.654;30.343;16.728
10/17/16 08h29min7s;24.532;60.221;30.697;16.584
10/17/16 08h44min7s;25.234;58.694;32.458;16.853
10/17/16 08h59min7s;25.890;55.549;33.157;16.624
10/17/16 09h14min7s;26.426;54.367;33.521;16.793
10/17/16 09h29min7s;26.842;53.952;34.150;17.061
10/17/16 09h44min7s;27.284;52.586;34.889;17.074
10/17/16 09h59min7s;27.727;50.890;36.173;16.975
10/17/16 10h14min7s;28.196;52.966;36.525;18.031
10/17/16 10h29min7s;28.369;52.416;37.563;18.028
10/17/16 10h44min7s;28.642;50.852;38.532;17.807
10/17/16 10h59min7s;28.941;49.700;38.004;17.722
10/17/16 11h14min7s;29.315;48.714;38.812;17.751
10/17/16 11h29min7s;29.265;47.605;38.644;17.344
10/17/16 11h44min7s;29.790;46.627;41.766;17.497
10/17/16 11h59min7s;30.369;44.698;39.743;17.357
10/17/16 12h14min7s;30.167;45.036;37.811;17.293
10/17/16 12h29min7s;30.874;43.240;42.297;17.289
10/17/16 12h44min7s;31.382;42.834;42.564;17.598
10/17/16 12h59min7s;31.586;41.528;42.624;17.289
10/17/16 01h14min7s;32.021;40.640;43.768;17.335
10/17/16 01h29min7s;31.586;40.861;40.978;17.032
10/17/16 01h44min7s;31.586;40.193;42.863;16.771
10/17/16 01h59min7s;32.304;38.961;44.658;16.915
10/17/16 02h14min7s;30.925;40.690;35.342;16.374
10/17/16 02h29min7s;30.773;41.206;38.087;16.437
10/17/16 02h44min7s;30.545;41.746;40.429;16.438
10/17/16 02h59min7s;30.167;41.970;34.045;16.182
10/17/16 03h14min7s;30.798;42.106;37.921;16.801
10/17/16 03h29min7s;30.217;43.100;33.600;16.646
10/17/16 03h44min7s;28.493;46.892;30.243;16.404
10/17/16 03h59min7s;29.941;46.515;36.308;17.597
10/17/16 04h14min7s;30.016;46.753;34.730;17.746
10/17/16 04h29min7s;29.140;48.335;32.330;17.469
10/17/16 04h44min7s;28.048;50.067;29.765;17.017
10/17/16 04h59min7s;26.646;53.830;26.940;16.844
10/17/16 05h14min7s;24.629;57.640;23.400;16.009
10/17/16 05h29min7s;23.761;60.928;22.585;16.033
10/17/16 05h44min7s;23.112;63.047;21.987;15.933
10/17/16 05h59min7s;22.633;64.539;21.604;15.828
10/17/16 06h14min7s;22.178;65.633;21.175;15.645
10/17/16 06h29min7s;21.748;66.664;20.698;15.466
10/17/16 06h44min7s;21.437;67.917;20.436;15.445
10/17/16 06h59min7s;21.079;69.006;20.031;15.337
10/17/16 07h14min7s;20.793;70.570;19.817;15.391
10/17/16 07h29min7s;20.460;72.142;19.460;15.393
10/17/16 07h44min7s;20.269;73.873;19.508;15.555
10/17/16 07h59min7s;20.269;74.191;19.698;15.617
10/17/16 08h14min7s;20.198;74.494;19.579;15.607
10/17/16 08h29min7s;20.126;74.940;19.532;15.625
10/17/16 08h44min7s;20.079;75.677;19.508;15.721
10/17/16 08h59min7s;20.007;75.319;19.508;15.583
10/17/16 09h14min7s;19.793;75.820;19.222;15.471
10/17/16 09h29min7s;19.746;76.211;19.246;15.499
10/17/16 09h44min7s;19.793;76.392;19.294;15.580
10/17/16 09h59min7s;19.508;76.619;18.699;15.345
10/17/16 10h14min7s;19.318;77.433;18.699;15.313
10/17/16 10h29min7s;19.460;77.775;19.056;15.515
