data_pasto;tbs;ur;tgn;tpo
10/21/2016 19:29:7;21843;72231;21318;16746
10/21/2016 19:44:7;21652;73012;21127;16720
10/21/2016 19:59:7;21366;72315;20841;16302
10/21/2016 20:14:7;20936;72291;20341;15883
10/21/2016 20:29:7;20674;73692;19984;15911
10/21/2016 20:44:7;20484;74810;19770;15946
10/21/2016 20:59:7;20531;75682;20103;16161
10/21/2016 21:14:7;20460;76413;19912;16232
10/21/2016 21:29:7;20317;76870;19746;16180
10/21/2016 21:44:7;20222;77278;19674;16164
10/21/2016 21:59:7;20174;77553;19722;16169
10/21/2016 22:14:7;20222;77649;19817;16233
10/21/2016 22:29:7;20222;77905;19841;16281
10/21/2016 22:44:7;20174;78065;19865;16265
10/21/2016 22:59:7;20007;78343;19555;16154
10/21/2016 23:14:7;19888;78799;19389;16122
10/21/2016 23:29:7;19817;78954;19413;16080
10/21/2016 23:44:7;19674;78924;19175;15935
10/21/2016 23:59:7;19579;79356;19056;15921
10/22/2016 00:14:7;19555;79745;19127;15968
10/22/2016 00:29:7;19484;80011;18913;15947
10/22/2016 00:44:7;19413;80108;18842;15894
10/22/2016 00:59:7;19508;80353;19199;16031
10/22/2016 01:14:7;19579;80425;19222;16114
10/22/2016 01:29:7;19627;80548;19318;16182
10/22/2016 01:44:7;19698;80619;19389;16265
10/22/2016 01:59:7;19603;80879;18937;16218
10/22/2016 02:14:7;19508;81362;18913;16211
10/22/2016 02:29:7;19413;81677;18913;16173
10/22/2016 02:44:7;19389;81979;18889;16202
10/22/2016 02:59:7;19175;82182;18604;16028
10/22/2016 03:14:7;19175;82266;18675;16042
10/22/2016 03:29:7;19175;82349;18723;16057
10/22/2016 03:44:7;19103;82500;18628;16013
10/22/2016 03:59:7;19080;82551;18675;15998
10/22/2016 04:14:7;18961;82580;18485;15887
10/22/2016 04:29:7;18818;82631;18343;15756
10/22/2016 04:44:7;18747;82699;18319;15697
10/22/2016 04:59:7;18675;82738;18319;15634
10/22/2016 05:14:7;18723;82804;18414;15692
10/22/2016 05:29:7;18771;82815;18557;15741
10/22/2016 05:44:7;18842;82831;18913;15813
10/22/2016 05:59:7;19032;82845;19532;16003
10/22/2016 06:14:7;19318;82798;20746;16275
10/22/2016 06:29:7;19722;82665;22393;16649
10/22/2016 06:44:7;20460;82354;25040;17318
10/22/2016 06:59:7;20126;81665;21891;16870
10/22/2016 07:14:7;20412;81279;23088;17082
10/22/2016 07:29:7;20889;80509;24122;17410
10/22/2016 07:44:7;21103;78998;24219;17344
10/22/2016 07:59:7;21175;78302;24195;17284
10/22/2016 08:14:7;22154;77189;28369;18027
10/22/2016 08:29:7;23376;72084;30041;18194
10/22/2016 08:44:7;24436;68873;30545;18527
10/22/2016 08:59:7;24750;66440;30495;18282
10/22/2016 09:14:7;24944;65295;30545;18202
10/22/2016 09:29:7;25817;63465;32949;18598
10/22/2016 09:44:7;26012;62609;33548;18575
10/22/2016 09:59:7;27112;60039;35208;18967
10/22/2016 10:14:7;26842;60059;32768;18718
10/22/2016 10:29:7;26965;60078;33287;18839
10/22/2016 10:44:7;28072;56873;39886;19026
10/22/2016 10:59:7;27974;57926;37178;19219
10/22/2016 11:14:7;27653;56466;33287;18522
10/22/2016 11:29:7;27308;56384;32536;18178
10/22/2016 11:44:7;29065;52958;40487;18833
10/22/2016 11:59:7;28642;53187;34651;18509
10/22/2016 12:14:7;28048;53518;32975;18055
10/22/2016 12:29:7;27899;53052;32587;17781
10/22/2016 12:44:7;28468;52397;35770;18114
10/22/2016 12:59:7;29215;51056;36661;18397
10/22/2016 13:14:7;29190;50570;35128;18224
10/22/2016 13:29:7;28543;50870;32433;17721
10/22/2016 13:44:7;29065;51646;36119;18439
10/22/2016 13:59:7;30394;49726;43616;19065
10/22/2016 14:14:7;30293;48675;42060;18635
10/22/2016 14:29:7;28816;50231;33730;17775
10/22/2016 14:44:7;30520;49191;44905;19010
10/22/2016 14:59:7;29464;48246;31868;17737
10/22/2016 15:14:7;29240;49642;38756;17979
10/22/2016 15:29:7;29414;49503;32510;18095
10/22/2016 15:44:7;28147;50658;29065;17290
10/22/2016 15:59:7;27776;51792;29215;17293
10/22/2016 16:14:7;28394;52802;32846;18166
10/22/2016 16:29:7;27112;55285;27186;17690
10/22/2016 16:44:7;26207;57723;26036;17510
10/22/2016 16:59:7;25768;59798;25380;17640
10/22/2016 17:14:7;25307;60744;24847;17446
10/22/2016 17:29:7;24484;65186;23472;17740
10/22/2016 17:44:7;23617;67532;22585;17446
10/22/2016 17:59:7;23088;68838;22202;17227
10/22/2016 18:14:7;22800;70591;21939;17327
10/22/2016 18:29:7;22226;71895;21461;17045
10/22/2016 18:44:7;21652;73244;20817;16767
10/22/2016 18:59:7;21318;74513;20531;16696
10/22/2016 19:14:7;21127;74822;20484;16572
10/22/2016 19:29:7;20960;75049;20341;16455
10/22/2016 19:44:7;20698;75543;20055;16296
10/22/2016 19:59:7;20603;76328;20055;16354
10/22/2016 20:14:7;20341;76703;19508;16171
10/22/2016 20:29:7;20174;77496;19389;16159
10/22/2016 20:44:7;20031;77609;19318;16041
10/22/2016 20:59:7;19865;77603;19151;15877
10/22/2016 21:14:7;20007;77889;19698;16069
10/22/2016 21:29:7;20103;77937;19817;16171
10/22/2016 21:44:7;20103;78249;19793;16229
10/22/2016 21:59:7;20055;78580;19603;16244
10/22/2016 22:14:7;20055;78750;19746;16275
10/22/2016 22:29:7;19984;79102;19365;16270
10/22/2016 22:44:7;19936;79460;19627;16289
10/22/2016 22:59:7;19912;79398;19579;16254
10/22/2016 23:14:7;19817;79632;19246;16204
10/22/2016 23:29:7;19674;80277;19080;16180
10/22/2016 23:44:7;19365;80603;18628;15936
10/22/2016 23:59:7;19341;80878;18747;15962
10/23/2016 00:14:7;19151;80921;18319;15783
10/23/2016 00:29:7;18771;81034;18057;15431
10/23/2016 00:44:7;18699;81214;18129;15392
10/23/2016 00:59:7;18533;81317;17772;15248
10/23/2016 01:14:7;18247;81450;17391;14991
10/23/2016 01:29:7;18105;81557;17391;14870
10/23/2016 01:44:7;18057;81603;17344;14831
10/23/2016 01:59:7;17915;81738;17201;14715
10/23/2016 02:14:7;17819;81856;17130;14642
10/23/2016 02:29:7;17796;81961;17082;14637
10/23/2016 02:44:7;17748;82062;17153;14608
10/23/2016 02:59:7;17843;82138;17344;14714
10/23/2016 03:14:7;17986;82197;17534;14864
10/23/2016 03:29:7;18010;82230;17558;14893
10/23/2016 03:44:7;17938;82353;17368;14844
10/23/2016 03:59:7;17891;82453;17368;14815
10/23/2016 04:14:7;17748;82587;17130;14698
10/23/2016 04:29:7;17772;82703;17249;14741
10/23/2016 04:44:7;17701;82770;17082;14682
10/23/2016 04:59:7;17582;82827;16987;14575
10/23/2016 05:14:7;17605;82887;17177;14609
10/23/2016 05:29:7;17843;82913;18366;14847
10/23/2016 05:44:7;18129;82921;18652;15128
10/23/2016 05:59:7;18699;82910;20841;15687
10/23/2016 06:14:7;19175;82572;20984;16096
10/23/2016 06:29:7;19389;82118;21342;16227
10/23/2016 06:44:7;20507;81271;25598;17174
10/23/2016 06:59:7;21270;77751;26353;17274
10/23/2016 07:14:7;22417;75194;28692;17896
10/23/2016 07:29:7;23064;70877;29090;17641
10/23/2016 07:44:7;23905;67583;30950;17733
10/23/2016 07:59:7;23978;65613;30369;17356
10/23/2016 08:14:7;24508;63552;30748;17378
10/23/2016 08:29:7;25113;63196;31714;17866
10/23/2016 08:44:7;25720;60686;32665;17820
10/23/2016 08:59:7;25866;59411;32458;17632
10/23/2016 09:14:7;26720;58143;34519;18102
10/23/2016 09:29:7;26989;56588;34598;17936
10/23/2016 09:44:7;27259;55243;35208;17815
10/23/2016 09:59:7;28196;51561;35958;17612
10/23/2016 10:14:7;28245;49803;36933;17116
10/23/2016 10:29:7;28667;48696;37315;17152
10/23/2016 10:44:7;29490;43281;39403;16055
10/23/2016 10:59:7;29991;43008;41854;16408
10/23/2016 11:14:7;30041;41956;39516;16064
10/23/2016 11:29:7;30469;41605;41414;16317
10/23/2016 11:44:7;31077;43527;41590;17577
10/23/2016 11:59:7;30596;44429;39177;17467
10/23/2016 12:14:7;29740;50610;38980;18743
10/23/2016 12:29:7;29565;51745;39743;18931
10/23/2016 12:44:7;29464;52661;41239;19115
10/23/2016 12:59:7;28543;54064;35395;18673
10/23/2016 13:14:7;29290;51836;40314;18705
10/23/2016 13:29:7;29615;50851;41678;18702
10/23/2016 13:44:7;28692;53194;32458;18557
10/23/2016 13:59:7;27235;57408;32073;18388
10/23/2016 14:14:7;28866;54396;33287;19069
10/23/2016 14:29:7;28097;54794;31510;18468
10/23/2016 14:44:7;29040;52507;33992;18676
10/23/2016 14:59:7;26646;61327;27924;18856
10/23/2016 15:14:7;25283;65323;26182;18532
10/23/2016 15:29:7;23954;70776;24581;18475
10/23/2016 15:44:7;23280;69200;23761;17490
10/23/2016 15:59:7;22633;67804;22058;16565
10/23/2016 16:14:7;21891;70010;20246;16329
10/23/2016 16:29:7;20865;73266;19341;16010
10/23/2016 16:44:7;20627;74290;19294;15983
10/23/2016 16:59:7;20460;76155;19460;16183
10/23/2016 17:14:7;20579;77495;19770;16552
10/23/2016 17:29:7;20460;78068;19627;16544
10/23/2016 17:44:7;20198;78184;19555;16310
10/23/2016 17:59:7;20103;78590;19222;16292
10/23/2016 18:14:7;20055;79598;19294;16430
10/23/2016 18:29:7;19984;80118;19294;16454
10/23/2016 18:44:7;19888;80463;19222;16423
10/23/2016 18:59:7;19722;80905;19151;16339
10/23/2016 19:14:7;19674;81035;19175;16316
10/23/2016 19:29:7;19746;80938;19246;16368
10/23/2016 19:44:7;19722;80961;19270;16349
10/23/2016 19:59:7;19698;81292;19294;16385
10/23/2016 20:14:7;19746;81582;19365;16482
10/23/2016 20:29:7;19770;81587;19389;16507
10/23/2016 20:44:7;19746;81610;19413;16487
10/23/2016 20:59:7;19770;81559;19484;16502
10/23/2016 21:14:7;19770;81643;19436;16517
10/23/2016 21:29:7;19722;81717;19365;16483
10/23/2016 21:44:7;19698;81739;19318;16464
10/23/2016 21:59:7;19722;81856;19389;16507
10/23/2016 22:14:7;19627;81891;19318;16420
10/23/2016 22:29:7;19603;81942;19318;16406
10/23/2016 22:44:7;19508;81977;19246;16319
10/23/2016 22:59:7;19270;81925;18866;16076
10/23/2016 23:14:7;19127;82033;18818;15955
10/23/2016 23:29:7;19080;82078;18818;15916
10/23/2016 23:44:7;18985;82140;18604;15834
10/23/2016 23:59:7;18961;82219;18628;15824
10/24/2016 00:14:7;18889;82258;18438;15761
10/24/2016 00:29:7;18913;82347;18699;15800
10/24/2016 00:44:7;19008;82340;18794;15892
10/24/2016 00:59:7;18937;82352;18723;15824
10/24/2016 01:14:7;18937;82352;18794;15824
10/24/2016 01:29:7;18937;82297;18771;15815
10/24/2016 01:44:7;18794;82265;18628;15669
10/24/2016 01:59:7;18628;82284;18200;15509
10/24/2016 02:14:7;18295;82432;17605;15208
10/24/2016 02:29:7;18152;82594;17605;15096
10/24/2016 02:44:7;18010;82673;17463;14969
10/24/2016 02:59:7;17867;82807;17368;14852
10/24/2016 03:14:7;17867;82918;17415;14871
10/24/2016 03:29:7;17796;82985;17344;14812
10/24/2016 03:44:7;17677;83041;17130;14705
10/24/2016 03:59:7;17629;83141;17130;14675
10/24/2016 04:14:7;17629;83223;17225;14689
10/24/2016 04:29:7;17582;83295;17106;14655
10/24/2016 04:44:7;17510;83362;17011;14596
10/24/2016 04:59:7;17415;83423;16868;14513
10/24/2016 05:14:7;17415;83478;16987;14522
10/24/2016 05:29:7;17486;83466;17296;14590
10/24/2016 05:44:7;17701;83432;17677;14795
10/24/2016 05:59:7;17986;83358;18319;15063
10/24/2016 06:14:7;18485;83194;20507;15525
10/24/2016 06:29:7;18866;82919;21867;15852
10/24/2016 06:44:7;19246;82448;21676;16144
10/24/2016 06:59:7;19555;82099;21652;16387
10/24/2016 07:14:7;20484;81351;24508;17164
10/24/2016 07:29:7;20841;80132;24581;17295
10/24/2016 07:44:7;22011;78047;28717;18051
10/24/2016 07:59:7;22537;74986;26989;17971
10/24/2016 08:14:7;22513;72418;26500;17430
10/24/2016 08:29:7;23328;70955;30142;17911
10/24/2016 08:44:7;24557;67968;32175;18442
10/24/2016 08:59:7;24871;65252;31026;18123
10/24/2016 09:14:7;25477;62369;32639;18009
10/24/2016 09:29:7;25331;61332;30849;17616
10/24/2016 09:44:7;25258;60675;29565;17382
10/24/2016 09:59:7;25963;59953;33678;17863
10/24/2016 10:14:7;27136;55981;35823;17906
10/24/2016 10:29:7;27431;55015;35049;17911
10/24/2016 10:44:7;27530;54207;34071;17773
10/24/2016 10:59:7;27554;52846;35502;17401
10/24/2016 11:14:7;28196;50247;35931;17209
10/24/2016 11:29:7;28841;49429;38952;17545
10/24/2016 11:44:7;28692;49507;36308;17433
10/24/2016 11:59:7;28593;48266;35102;16946
10/24/2016 12:14:7;28667;48664;33652;17142
10/24/2016 12:29:7;29540;46042;38421;17071
10/24/2016 12:44:7;28617;46387;32278;16348
10/24/2016 12:59:7;30469;44513;41414;17382
10/24/2016 13:14:7;30596;44264;39971;17408
10/24/2016 13:29:7;31535;41056;42238;17062
10/24/2016 13:44:7;30217;41843;34624;16180
10/24/2016 13:59:7;29290;45064;31663;16507
10/24/2016 14:14:7;30646;42983;40028;16990
10/24/2016 14:29:7;30520;41743;35288;16414
10/24/2016 14:44:7;30243;44749;36498;17261
10/24/2016 14:59:7;29740;44559;33079;16738
10/24/2016 15:14:7;29190;45771;32201;16660
10/24/2016 15:29:7;29190;46815;31714;17013
10/24/2016 15:44:7;29389;47880;33730;17549
10/24/2016 15:59:7;28543;48519;29790;16982
10/24/2016 16:14:7;28048;49262;29890;16765
10/24/2016 16:29:7;27186;50210;27702;16268
10/24/2016 16:44:7;26304;51371;26622;15808
10/24/2016 16:59:7;25963;52595;26793;15854
10/24/2016 17:14:7;25040;54013;24315;15405
10/24/2016 17:29:7;24171;56701;23136;15331
10/24/2016 17:44:7;23617;58723;22729;15341
10/24/2016 17:59:7;23160;60587;22178;15381
10/24/2016 18:14:7;22729;63498;21748;15676
10/24/2016 18:29:7;22321;64847;21270;15603
10/24/2016 18:44:7;21963;66194;20889;15567
10/24/2016 18:59:7;21604;67531;20531;15521
10/24/2016 19:14:7;21270;68272;20198;15362
10/24/2016 19:29:7;21008;69582;20031;15390
10/24/2016 19:44:7;20722;70644;19674;15338
10/24/2016 19:59:7;20436;72166;19484;15375
10/24/2016 20:14:7;20341;73164;19579;15483
10/24/2016 20:29:7;20317;73304;19627;15488
10/24/2016 20:44:7;20031;74317;19032;15411
10/24/2016 20:59:7;19817;75108;18818;15358
10/24/2016 21:14:7;19484;75815;18414;15170
10/24/2016 21:29:7;19151;76318;18129;14942
10/24/2016 21:44:7;19008;76744;18081;14883
10/24/2016 21:59:7;18961;77331;18176;14947
10/24/2016 22:14:7;18913;77548;18105;14940
10/24/2016 22:29:7;18509;77606;17605;14557
10/24/2016 22:44:7;18438;78128;17843;14584
10/24/2016 22:59:7;18533;78232;18057;14696
10/24/2016 23:14:7;18485;78166;17867;14637
10/24/2016 23:29:7;18509;78284;17867;14682
10/24/2016 23:44:7;18414;78433;17629;14616
10/24/2016 23:59:7;18295;78943;17439;14593
10/25/2016 00:14:7;18176;79395;17320;14558
10/25/2016 00:29:7;18105;79716;17272;14546
10/25/2016 00:44:7;18033;80092;17201;14543
10/25/2016 00:59:7;18057;80293;17249;14602
10/25/2016 01:14:7;17986;80696;17130;14603
10/25/2016 01:29:7;17962;80914;17177;14618
10/25/2016 01:44:7;18033;81208;17391;14739
10/25/2016 01:59:7;18010;81314;17296;14735
10/25/2016 02:14:7;17891;81399;17201;14633
10/25/2016 02:29:7;18081;81580;17653;14851
10/25/2016 02:44:7;18081;81469;17510;14831
10/25/2016 02:59:7;17986;81643;17391;14768
10/25/2016 03:14:7;18010;81731;17463;14807
10/25/2016 03:29:7;17867;81811;17225;14681
10/25/2016 03:44:7;17843;81889;17320;14671
10/25/2016 03:59:7;17938;81993;17534;14782
10/25/2016 04:14:7;17986;82003;17582;14831
10/25/2016 04:29:7;18081;82108;17724;14942
10/25/2016 04:44:7;18247;82144;18010;15112
10/25/2016 04:59:7;18366;82171;18057;15233
10/25/2016 05:14:7;18485;82141;18152;15344
10/25/2016 05:29:7;18557;82129;18343;15412
10/25/2016 05:44:7;18652;82150;18390;15509
10/25/2016 05:59:7;18628;82173;18366;15490
10/25/2016 06:14:7;18747;82171;19175;15606
10/25/2016 06:29:7;18985;82057;19698;15819
10/25/2016 06:44:7;19056;81961;19389;15873
10/25/2016 06:59:7;19318;81712;19888;16086
10/25/2016 07:14:7;19865;81412;21987;16569
10/25/2016 07:29:7;21533;79940;26744;17936
10/25/2016 07:44:7;21390;77347;23064;17313
10/25/2016 07:59:7;20770;79127;21223;17041
10/25/2016 08:14:7;20817;79052;22609;17074
10/25/2016 08:29:7;21318;78645;23160;17487
10/25/2016 08:44:7;21079;78823;21008;17288
10/25/2016 08:59:7;21223;79987;23184;17642
10/25/2016 09:14:7;21103;79934;21963;17515
10/25/2016 09:29:7;20793;80179;22154;17257
10/25/2016 09:44:7;20841;80556;22657;17372
10/25/2016 09:59:7;21939;79572;26965;18265
10/25/2016 10:14:7;23641;75670;30041;19176
10/25/2016 10:29:7;24532;67334;30142;18277
10/25/2016 10:44:7;25647;65051;32381;18815
10/25/2016 10:59:7;26965;61810;32820;19278
10/25/2016 11:14:7;25695;63963;28444;18603
10/25/2016 11:29:7;26598;62551;32587;19115
10/25/2016 11:44:7;27210;60303;32872;19127
10/25/2016 11:59:7;26965;60512;31893;18950
10/25/2016 12:14:7;27308;58232;32665;18678
10/25/2016 12:29:7;28841;57868;38087;20016
10/25/2016 12:44:7;29515;54169;36552;19606
10/25/2016 12:59:7;30041;52932;35985;19729
10/25/2016 13:14:7;29464;53939;35770;19492
10/25/2016 13:29:7;28791;54322;31382;18978
10/25/2016 13:44:7;27949;55847;30419;18627
10/25/2016 13:59:7;28617;54742;31484;18937
10/25/2016 14:14:7;29365;52935;34572;19104
10/25/2016 14:29:7;27382;56834;27727;18370
10/25/2016 14:44:7;26818;58220;28444;18215
10/25/2016 14:59:7;27333;57235;29315;18433
10/25/2016 15:14:7;26158;60478;26256;18181
10/25/2016 15:29:7;25404;61989;25841;17847
10/25/2016 15:44:7;25283;63040;25841;17989
10/25/2016 15:59:7;25453;63099;26012;18164
10/25/2016 16:14:7;24774;66052;24605;18216
10/25/2016 16:29:7;24195;68023;24098;18108
10/25/2016 16:44:7;23593;68959;23232;17737
10/25/2016 16:59:7;23352;70280;23088;17791
10/25/2016 17:14:7;22896;71434;22345;17596
10/25/2016 17:29:7;22034;73668;20698;17221
10/25/2016 17:44:7;21676;75191;20698;17176
10/25/2016 17:59:7;21366;76310;20627;17092
10/25/2016 18:14:7;21223;76712;20603;17030
10/25/2016 18:29:7;20960;77887;20198;16997
10/25/2016 18:44:7;20722;78208;20007;16825
10/25/2016 18:59:7;20603;78581;19960;16778
10/25/2016 19:14:7;20460;78891;19817;16696
10/25/2016 19:29:7;20412;79476;19960;16757
10/25/2016 19:44:7;20436;79255;19936;16739
10/25/2016 19:59:7;20174;79143;19579;16463
10/25/2016 20:14:7;19841;79524;19175;16207
10/25/2016 20:29:7;19603;80233;18985;16103
10/25/2016 20:44:7;19484;80517;18818;16037
10/25/2016 20:59:7;19579;80902;19222;16199
10/25/2016 21:14:7;19555;80785;19151;16155
10/25/2016 21:29:7;19318;80789;18699;15923
10/25/2016 21:44:7;19270;81031;18771;15919
10/25/2016 21:59:7;19294;81092;18842;15953
10/25/2016 22:14:7;19222;81244;18652;15910
10/25/2016 22:29:7;19080;81409;18509;15799
10/25/2016 22:44:7;18913;81623;18295;15674
10/25/2016 22:59:7;18866;81780;18319;15655
10/25/2016 23:14:7;18747;81893;18105;15558
10/25/2016 23:29:7;18557;82046;17867;15398
10/25/2016 23:44:7;18438;82131;17891;15296
10/25/2016 23:59:7;18485;82225;18200;15359
10/26/2016 00:14:7;18461;82303;18200;15349
10/26/2016 00:29:7;18485;82391;18247;15388
10/26/2016 00:44:7;18485;82419;18271;15392
10/26/2016 00:59:7;18366;82309;17891;15257
10/26/2016 01:14:7;18295;82321;17891;15189
10/26/2016 01:29:7;18319;82437;18081;15232
10/26/2016 01:44:7;18295;82460;17962;15213
10/26/2016 01:59:7;18176;82517;17748;15106
10/26/2016 02:14:7;18200;82577;17891;15140
10/26/2016 02:29:7;18152;82594;17796;15096
10/26/2016 02:44:7;18105;82639;17605;15057
10/26/2016 02:59:7;18057;82795;17463;15037
10/26/2016 03:14:7;17915;82956;17296;14924
10/26/2016 03:29:7;17819;83018;17153;14841
10/26/2016 03:44:7;17891;83061;17439;14919
10/26/2016 03:59:7;17962;83077;17510;14992
10/26/2016 04:14:7;17962;83050;17558;14987
10/26/2016 04:29:7;18033;83093;17605;15064
10/26/2016 04:44:7;18129;83170;17819;15171
10/26/2016 04:59:7;18224;83191;17891;15268
10/26/2016 05:14:7;18247;83224;17938;15297
10/26/2016 05:29:7;18390;83173;18295;15428
10/26/2016 05:44:7;18438;83128;18414;15467
10/26/2016 05:59:7;18604;83055;18889;15618
10/26/2016 06:14:7;19008;82951;20293;15998
10/26/2016 06:29:7;19627;82198;22154;16474
10/26/2016 06:44:7;20698;80553;25307;17231
10/26/2016 06:59:7;21390;76889;;17226
10/26/2016 07:14:7;21939;75099;;17413
10/26/2016 07:29:7;22369;73384;;17488
10/26/2016 07:44:7;23280;70326;;17732
10/26/2016 07:59:7;24291;65998;;17743
10/26/2016 08:14:7;24315;65791;;17719
10/26/2016 08:29:7;24677;63398;;17501
10/26/2016 08:44:7;24871;62209;;17397
10/26/2016 08:59:7;26012;59465;;17784
10/26/2016 09:14:7;26720;58330;;18152
10/26/2016 09:29:7;27210;56212;;18039
10/26/2016 09:44:7;27998;53766;;18081
10/26/2016 09:59:7;28692;50794;;17835
10/26/2016 10:14:7;29090;49364;;17753
10/26/2016 10:29:7;29414;48564;;17795
10/26/2016 10:44:7;29991;44917;;17092
10/26/2016 10:59:7;30596;45677;;17905
10/26/2016 11:14:7;31153;41547;;16908
10/26/2016 11:29:7;31637;39731;;16632
10/26/2016 11:44:7;31816;40351;;17038
10/26/2016 11:59:7;32098;40582;;17381
10/26/2016 12:14:7;32381;39641;;17259
10/26/2016 12:29:7;32536;38413;;16895
10/26/2016 12:44:7;32639;37243;;16493
10/26/2016 12:59:7;32562;36897;;16276
10/26/2016 13:14:7;33209;37535;;17122
10/26/2016 13:29:7;32975;36971;;16673
10/26/2016 13:44:7;33183;38276;;17412
10/26/2016 13:59:7;32820;36888;;16500
10/26/2016 14:14:7;32613;36327;;16073
10/26/2016 14:29:7;33365;35856;;16527
10/26/2016 14:44:7;33495;36751;;17037
10/26/2016 14:59:7;32175;37096;;16020
10/26/2016 15:14:7;31128;38740;;15779
10/26/2016 15:29:7;32175;37096;;16020
10/26/2016 15:44:7;32227;37641;;16298
10/26/2016 15:59:7;31868;38144;;16190
10/26/2016 16:14:7;31179;38343;;15662
10/26/2016 16:29:7;29464;39371;;14552
10/26/2016 16:44:7;28369;41541;;14407
10/26/2016 16:59:7;27702;43013;;14346
10/26/2016 17:14:7;26158;46896;;14275
10/26/2016 17:29:7;24895;52258;;14767
10/26/2016 17:44:7;24146;55857;;15081
10/26/2016 17:59:7;23593;58442;;15246
10/26/2016 18:14:7;23040;60354;;15210
10/26/2016 18:29:7;22417;62052;;15037
10/26/2016 18:44:7;21963;63732;;15004
10/26/2016 18:59:7;21557;65196;;14954
10/26/2016 19:14:7;21199;66418;;14888
10/26/2016 19:29:7;20817;67687;;14802
10/26/2016 19:44:7;20460;68863;;14712
10/26/2016 19:59:7;20150;70215;;14699
10/26/2016 20:14:7;19841;71296;;14624
10/26/2016 20:29:7;19627;73025;;14765
10/26/2016 20:44:7;19389;74334;;14792
10/26/2016 20:59:7;19151;75462;;14779
10/26/2016 21:14:7;18889;76805;;14779
10/26/2016 21:29:7;18628;77574;;14667
10/26/2016 21:44:7;18414;78235;;14580
10/26/2016 21:59:7;18247;78482;;14463
10/26/2016 22:14:7;18105;78621;;14349
10/26/2016 22:29:7;17986;78737;;14254
10/26/2016 22:44:7;17891;79166;;14238
10/26/2016 22:59:7;17772;79393;;14163
10/26/2016 23:14:7;17653;79675;;14097
10/26/2016 23:29:7;17605;79805;;14073
10/26/2016 23:44:7;17582;79995;;14084
10/26/2016 23:59:7;17463;80360;;14032
10/27/2016 00:14:7;17534;80459;;14119
10/27/2016 00:29:7;17296;80519;;13897
10/27/2016 00:44:7;17153;80905;;13825
10/27/2016 00:59:7;17011;81290;;13752
10/27/2016 01:14:7;17106;81449;;13872
10/27/2016 01:29:7;17153;81487;;13926
10/27/2016 01:44:7;17106;81338;;13853
10/27/2016 01:59:7;17201;81221;;13926
10/27/2016 02:14:7;17201;81359;;13950
10/27/2016 02:29:7;17249;81619;;14042
10/27/2016 02:44:7;17106;81726;;13920
10/27/2016 02:59:7;17130;81870;;13968
10/27/2016 03:14:7;17177;81825;;14007
10/27/2016 03:29:7;17130;81842;;13963
10/27/2016 03:44:7;17034;81932;;13885
10/27/2016 03:59:7;16987;81976;;13846
10/27/2016 04:14:7;17082;82136;;13967
10/27/2016 04:29:7;17249;82255;;14151
10/27/2016 04:44:7;17415;82237;;14311
10/27/2016 04:59:7;17391;82204;;14282
10/27/2016 05:14:7;17391;82232;;14287
10/27/2016 05:29:7;17629;82257;;14525
10/27/2016 05:44:7;17891;82232;;14777
10/27/2016 05:59:7;18271;82177;;15141
10/27/2016 06:14:7;18794;81931;;15611
10/27/2016 06:29:7;19199;81463;;15925
10/27/2016 06:44:7;19532;80864;;16146
10/27/2016 06:59:7;19888;79929;;16327
10/27/2016 07:14:7;20674;78169;;16771
10/27/2016 07:29:7;20698;76977;;16570
10/27/2016 07:44:7;21079;76424;;16836
10/27/2016 07:59:7;22705;72161;;17562
10/27/2016 08:14:7;23809;65523;;17175
10/27/2016 08:29:7;24581;60690;;16747
10/27/2016 08:44:7;25380;58685;;16987
10/27/2016 08:59:7;25866;53941;;16151
10/27/2016 09:14:7;26573;53059;;16554
10/27/2016 09:29:7;27259;50412;;16398
10/27/2016 09:44:7;27924;47988;;16244
10/27/2016 09:59:7;28369;47396;;16458
10/27/2016 10:14:7;28791;45756;;16293
10/27/2016 10:29:7;29464;44888;;16604
10/27/2016 10:44:7;29815;44075;;16635
10/27/2016 10:59:7;30495;44582;;17430
10/27/2016 11:14:7;30419;42329;;16543
10/27/2016 11:29:7;30672;42688;;16904
10/27/2016 11:44:7;31103;41874;;16987
10/27/2016 11:59:7;30117;41964;36389;16135
10/27/2016 12:14:7;31816;40685;;17169
10/27/2016 12:29:7;30672;41494;;16456
10/27/2016 12:44:7;30748;41835;;16653
10/27/2016 12:59:7;31179;40617;;16573
10/27/2016 13:14:7;32150;39885;;17151
10/27/2016 13:29:7;32253;38788;;16798
10/27/2016 13:44:7;31944;38958;;16594
10/27/2016 13:59:7;31663;39030;;16373
10/27/2016 14:14:7;32150;38509;;16592
10/27/2016 14:29:7;32201;37571;;16245
10/27/2016 14:44:7;32433;37729;;16517
10/27/2016 14:59:7;32484;37363;;16407
10/27/2016 15:14:7;31868;37538;;15936
10/27/2016 15:29:7;32073;40044;;17145
10/27/2016 15:44:7;31893;37877;;16102
10/27/2016 15:59:7;30041;41625;;15940
10/27/2016 16:14:7;30167;40643;;15677
10/27/2016 16:29:7;29966;41550;;15844
10/27/2016 16:44:7;29290;42929;;15747
10/27/2016 16:59:7;28147;44700;;15344
10/27/2016 17:14:7;26598;47370;;14831
10/27/2016 17:29:7;25574;49360;;14524
10/27/2016 17:44:7;24895;51720;;14610
